Radionuclide	Cd-111m
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide, chloride, sulphide, carbonate, telluride, all unspecified forms, fA=1E-2
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	1.3E-1	1.8E-2	7.6E-2	1.3E-5	8.0E-4
0.083333	5.3E-2	8.8E-3	3.1E-2	7.5E-6	6.4E-4
0.125	2.2E-2	4.1E-3	1.3E-2	3.9E-6	3.9E-4
0.25	1.7E-3	3.8E-4	9.3E-4	4.3E-7	5.0E-5
0.375	1.3E-4	3.2E-5	6.8E-5	4.0E-8	5.0E-6
0.5	9.6E-6	2.6E-6	5.1E-6	3.5E-9	4.4E-7
0.625	7.2E-7	2.1E-7	3.8E-7	2.9E-10	3.7E-8
0.75	5.4E-8	1.6E-8	2.9E-8	-	3.0E-9
0.875	4.1E-9	1.2E-9	2.1E-9	-	2.4E-10
1	3.1E-10	-	1.6E-10	-	-
