Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	4.5E-7	-	-	7.3E-8	6.7E-8	6.2E-8	4.7E-8
0.083333	1.8E-6	-	-	4.1E-7	5.6E-8	3.6E-7	2.0E-7
0.125	3.8E-6	-	-	1.0E-6	4.5E-8	8.9E-7	3.9E-7
0.25	1.4E-5	-	-	4.1E-6	6.6E-8	3.8E-6	1.2E-6
0.375	2.7E-5	-	-	8.7E-6	1.0E-7	8.7E-6	2.2E-6
0.5	4.4E-5	-	-	1.4E-5	1.3E-7	1.5E-5	3.5E-6
0.625	6.2E-5	-	-	2.0E-5	1.6E-7	2.3E-5	4.8E-6
0.75	8.1E-5	-	-	2.6E-5	1.9E-7	3.2E-5	6.3E-6
0.875	1.0E-4	-	-	3.3E-5	2.1E-7	4.2E-5	7.8E-6
1	1.2E-4	2.0E-2	7.2E-3	3.8E-5	2.3E-7	5.2E-5	9.3E-6
1.125	1.4E-4	-	-	4.4E-5	2.4E-7	6.3E-5	1.1E-5
1.25	1.6E-4	-	-	4.9E-5	2.6E-7	7.4E-5	1.2E-5
1.375	1.8E-4	-	-	5.4E-5	2.7E-7	8.4E-5	1.4E-5
1.5	1.9E-4	-	-	5.8E-5	2.8E-7	9.5E-5	1.5E-5
1.625	2.1E-4	-	-	6.2E-5	2.9E-7	1.1E-4	1.6E-5
1.75	2.3E-4	-	-	6.6E-5	3.0E-7	1.2E-4	1.8E-5
1.875	2.4E-4	-	-	6.9E-5	3.1E-7	1.3E-4	1.9E-5
2	2.6E-4	4.3E-3	2.2E-2	7.2E-5	3.2E-7	1.4E-4	2.0E-5
2.25	2.9E-4	-	-	7.7E-5	3.4E-7	1.6E-4	2.2E-5
2.5	3.2E-4	-	-	8.2E-5	3.5E-7	1.8E-4	2.4E-5
2.75	3.4E-4	-	-	8.6E-5	3.7E-7	2.0E-4	2.6E-5
3	3.7E-4	2.4E-3	1.4E-2	9.0E-5	3.8E-7	2.1E-4	2.8E-5
3.25	3.9E-4	-	-	9.3E-5	3.9E-7	2.3E-4	3.0E-5
3.5	4.2E-4	-	-	9.6E-5	4.1E-7	2.5E-4	3.2E-5
3.75	4.4E-4	-	-	9.9E-5	4.2E-7	2.6E-4	3.3E-5
4	4.6E-4	1.9E-3	5.5E-3	1.0E-4	4.3E-7	2.8E-4	3.5E-5
4.25	4.8E-4	-	-	1.1E-4	4.4E-7	2.9E-4	3.6E-5
4.5	5.0E-4	-	-	1.1E-4	4.5E-7	3.1E-4	3.7E-5
4.75	5.2E-4	-	-	1.1E-4	4.6E-7	3.2E-4	3.8E-5
5	5.4E-4	1.6E-3	1.7E-3	1.1E-4	4.7E-7	3.4E-4	3.9E-5
5.5	5.7E-4	-	-	1.2E-4	4.8E-7	3.6E-4	4.1E-5
6	6.1E-4	1.3E-3	4.8E-4	1.2E-4	5.0E-7	3.9E-4	4.3E-5
6.5	6.4E-4	-	-	1.3E-4	5.1E-7	4.1E-4	4.4E-5
7	6.7E-4	1.2E-3	1.7E-4	1.3E-4	5.2E-7	4.3E-4	4.6E-5
7.5	7.0E-4	-	-	1.3E-4	5.3E-7	4.6E-4	4.7E-5
8	7.2E-4	1.0E-3	8.2E-5	1.3E-4	5.4E-7	4.8E-4	4.8E-5
8.5	7.5E-4	-	-	1.3E-4	5.5E-7	5.0E-4	4.9E-5
9	7.8E-4	8.9E-4	5.5E-5	1.4E-4	5.5E-7	5.2E-4	4.9E-5
9.5	8.0E-4	-	-	1.4E-4	5.6E-7	5.4E-4	5.0E-5
10	8.2E-4	8.0E-4	4.2E-5	1.4E-4	5.6E-7	5.6E-4	5.0E-5
11	8.7E-4	7.3E-4	3.4E-5	1.4E-4	5.7E-7	6.0E-4	5.1E-5
12	9.1E-4	6.6E-4	2.9E-5	1.4E-4	5.8E-7	6.4E-4	5.2E-5
