Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including thorium chloride, citrate, nitrate and sulphate; thorium fluoride, fA=5E-5
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	6.9E-7	-	-	1.5E-7	3.0E-7	6.2E-9	4.5E-9
0.083333	2.7E-6	-	-	7.0E-7	1.1E-6	3.5E-8	1.9E-8
0.125	5.8E-6	-	-	1.7E-6	2.3E-6	8.8E-8	3.9E-8
0.25	2.0E-5	-	-	7.5E-6	7.8E-6	3.9E-7	1.2E-7
0.375	4.1E-5	-	-	1.7E-5	1.5E-5	9.1E-7	2.4E-7
0.5	6.6E-5	-	-	3.0E-5	2.4E-5	1.6E-6	4.0E-7
0.625	9.2E-5	-	-	4.4E-5	3.4E-5	2.5E-6	5.7E-7
0.75	1.2E-4	-	-	5.9E-5	4.5E-5	3.5E-6	7.5E-7
0.875	1.5E-4	-	-	7.5E-5	5.5E-5	4.6E-6	9.3E-7
1	1.7E-4	2.1E-3	6.6E-2	8.9E-5	6.6E-5	5.7E-6	1.1E-6
1.125	2.0E-4	-	-	1.0E-4	7.7E-5	6.9E-6	1.3E-6
1.25	2.2E-4	-	-	1.1E-4	8.7E-5	8.1E-6	1.5E-6
1.375	2.4E-4	-	-	1.2E-4	9.7E-5	9.4E-6	1.6E-6
1.5	2.6E-4	-	-	1.3E-4	1.1E-4	1.1E-5	1.8E-6
1.625	2.7E-4	-	-	1.3E-4	1.2E-4	1.2E-5	2.0E-6
1.75	2.8E-4	-	-	1.4E-4	1.3E-4	1.3E-5	2.1E-6
1.875	3.0E-4	-	-	1.4E-4	1.4E-4	1.4E-5	2.3E-6
2	3.1E-4	5.7E-4	2.2E-1	1.4E-4	1.4E-4	1.5E-5	2.4E-6
2.25	3.2E-4	-	-	1.3E-4	1.6E-4	1.8E-5	2.7E-6
2.5	3.3E-4	-	-	1.3E-4	1.8E-4	2.0E-5	3.0E-6
2.75	3.4E-4	-	-	1.2E-4	1.9E-4	2.2E-5	3.2E-6
3	3.5E-4	3.4E-4	1.6E-1	1.1E-4	2.1E-4	2.4E-5	3.5E-6
3.25	3.6E-4	-	-	1.0E-4	2.2E-4	2.7E-5	3.7E-6
3.5	3.7E-4	-	-	9.7E-5	2.3E-4	2.9E-5	3.9E-6
3.75	3.8E-4	-	-	9.2E-5	2.4E-4	3.1E-5	4.2E-6
4	3.8E-4	2.7E-4	7.8E-2	8.8E-5	2.5E-4	3.2E-5	4.3E-6
4.25	3.9E-4	-	-	8.4E-5	2.6E-4	3.4E-5	4.5E-6
4.5	4.0E-4	-	-	8.2E-5	2.7E-4	3.6E-5	4.7E-6
4.75	4.1E-4	-	-	8.0E-5	2.8E-4	3.8E-5	4.9E-6
5	4.2E-4	2.3E-4	4.1E-2	7.8E-5	2.9E-4	4.0E-5	5.0E-6
5.5	4.4E-4	-	-	7.6E-5	3.1E-4	4.3E-5	5.3E-6
6	4.6E-4	2.0E-4	2.6E-2	7.5E-5	3.2E-4	4.7E-5	5.6E-6
6.5	4.8E-4	-	-	7.4E-5	3.4E-4	5.0E-5	5.8E-6
7	4.9E-4	1.8E-4	1.9E-2	7.2E-5	3.5E-4	5.3E-5	6.1E-6
7.5	5.1E-4	-	-	7.1E-5	3.6E-4	5.6E-5	6.3E-6
8	5.2E-4	1.6E-4	1.5E-2	7.0E-5	3.8E-4	5.9E-5	6.4E-6
8.5	5.3E-4	-	-	6.8E-5	3.9E-4	6.2E-5	6.6E-6
9	5.5E-4	1.5E-4	1.3E-2	6.7E-5	4.0E-4	6.5E-5	6.7E-6
9.5	5.6E-4	-	-	6.5E-5	4.1E-4	6.8E-5	6.9E-6
10	5.7E-4	1.4E-4	1.0E-2	6.3E-5	4.2E-4	7.1E-5	7.0E-6
11	5.9E-4	1.3E-4	8.4E-3	5.9E-5	4.4E-4	7.6E-5	7.2E-6
12	6.2E-4	1.2E-4	6.9E-3	5.6E-5	4.6E-4	8.2E-5	7.4E-6
13	6.4E-4	1.1E-4	5.6E-3	5.2E-5	4.8E-4	8.7E-5	7.6E-6
14	6.6E-4	1.1E-4	4.6E-3	4.9E-5	5.0E-4	9.2E-5	7.7E-6
15	6.9E-4	1.0E-4	3.8E-3	4.6E-5	5.2E-4	9.7E-5	7.9E-6
16	7.1E-4	9.9E-5	3.1E-3	4.3E-5	5.4E-4	1.0E-4	8.0E-6
17	7.4E-4	9.6E-5	2.6E-3	4.1E-5	5.7E-4	1.1E-4	8.2E-6
18	7.6E-4	9.2E-5	2.1E-3	3.9E-5	5.9E-4	1.1E-4	8.3E-6
19	7.9E-4	8.9E-5	1.8E-3	3.7E-5	6.1E-4	1.2E-4	8.4E-6
20	8.2E-4	8.7E-5	1.5E-3	3.6E-5	6.3E-4	1.2E-4	8.6E-6
21	8.5E-4	8.4E-5	1.2E-3	3.5E-5	6.6E-4	1.3E-4	8.7E-6
22	8.7E-4	8.2E-5	1.0E-3	3.4E-5	6.8E-4	1.3E-4	8.8E-6
23	9.0E-4	8.0E-5	8.9E-4	3.3E-5	7.0E-4	1.4E-4	9.0E-6
24	9.3E-4	7.8E-5	7.6E-4	3.2E-5	7.2E-4	1.4E-4	9.1E-6
25	9.6E-4	7.6E-5	6.5E-4	3.2E-5	7.5E-4	1.5E-4	9.3E-6
26	9.8E-4	7.4E-5	5.6E-4	3.1E-5	7.7E-4	1.5E-4	9.4E-6
27	1.0E-3	7.2E-5	4.9E-4	3.1E-5	7.9E-4	1.6E-4	9.5E-6
28	1.0E-3	7.1E-5	4.3E-4	3.1E-5	8.1E-4	1.6E-4	9.7E-6
29	1.1E-3	6.9E-5	3.8E-4	3.1E-5	8.4E-4	1.7E-4	9.8E-6
30	1.1E-3	6.8E-5	3.4E-4	3.0E-5	8.6E-4	1.7E-4	9.9E-6
31	1.1E-3	6.6E-5	3.1E-4	3.0E-5	8.8E-4	1.8E-4	1.0E-5
32	1.2E-3	6.5E-5	2.8E-4	3.0E-5	9.0E-4	1.8E-4	1.0E-5
33	1.2E-3	6.4E-5	2.6E-4	3.1E-5	9.2E-4	1.9E-4	1.0E-5
34	1.2E-3	6.2E-5	2.4E-4	3.1E-5	9.4E-4	1.9E-4	1.1E-5
35	1.2E-3	6.1E-5	2.3E-4	3.1E-5	9.6E-4	2.0E-4	1.1E-5
36	1.3E-3	6.0E-5	2.2E-4	3.1E-5	9.9E-4	2.0E-4	1.1E-5
37	1.3E-3	5.9E-5	2.1E-4	3.1E-5	1.0E-3	2.1E-4	1.1E-5
38	1.3E-3	5.8E-5	2.0E-4	3.1E-5	1.0E-3	2.1E-4	1.1E-5
39	1.3E-3	5.7E-5	1.9E-4	3.2E-5	1.0E-3	2.2E-4	1.1E-5
40	1.4E-3	5.6E-5	1.9E-4	3.2E-5	1.1E-3	2.2E-4	1.1E-5
41	1.4E-3	5.5E-5	1.8E-4	3.2E-5	1.1E-3	2.3E-4	1.2E-5
42	1.4E-3	5.4E-5	1.8E-4	3.2E-5	1.1E-3	2.3E-4	1.2E-5
43	1.4E-3	5.3E-5	1.7E-4	3.3E-5	1.1E-3	2.4E-4	1.2E-5
44	1.5E-3	5.2E-5	1.7E-4	3.3E-5	1.1E-3	2.4E-4	1.2E-5
45	1.5E-3	5.2E-5	1.6E-4	3.3E-5	1.2E-3	2.5E-4	1.2E-5
46	1.5E-3	5.1E-5	1.6E-4	3.4E-5	1.2E-3	2.5E-4	1.2E-5
47	1.5E-3	5.0E-5	1.6E-4	3.4E-5	1.2E-3	2.6E-4	1.2E-5
48	1.6E-3	4.9E-5	1.6E-4	3.4E-5	1.2E-3	2.6E-4	1.3E-5
49	1.6E-3	4.9E-5	1.6E-4	3.4E-5	1.2E-3	2.7E-4	1.3E-5
50	1.6E-3	4.8E-5	1.5E-4	3.5E-5	1.2E-3	2.7E-4	1.3E-5
51	1.6E-3	4.7E-5	1.5E-4	3.5E-5	1.3E-3	2.8E-4	1.3E-5
52	1.6E-3	4.7E-5	1.5E-4	3.5E-5	1.3E-3	2.8E-4	1.3E-5
53	1.7E-3	4.6E-5	1.5E-4	3.5E-5	1.3E-3	2.9E-4	1.3E-5
54	1.7E-3	4.5E-5	1.5E-4	3.6E-5	1.3E-3	2.9E-4	1.3E-5
55	1.7E-3	4.5E-5	1.5E-4	3.6E-5	1.3E-3	3.0E-4	1.4E-5
56	1.7E-3	4.4E-5	1.5E-4	3.6E-5	1.3E-3	3.0E-4	1.4E-5
57	1.7E-3	4.4E-5	1.4E-4	3.6E-5	1.3E-3	3.1E-4	1.4E-5
58	1.8E-3	4.3E-5	1.4E-4	3.7E-5	1.4E-3	3.1E-4	1.4E-5
59	1.8E-3	4.3E-5	1.4E-4	3.7E-5	1.4E-3	3.1E-4	1.4E-5
60	1.8E-3	4.2E-5	1.4E-4	3.7E-5	1.4E-3	3.2E-4	1.4E-5
61	1.8E-3	4.2E-5	1.4E-4	3.7E-5	1.4E-3	3.2E-4	1.5E-5
62	1.8E-3	4.1E-5	1.4E-4	3.8E-5	1.4E-3	3.3E-4	1.5E-5
63	1.9E-3	4.1E-5	1.4E-4	3.8E-5	1.4E-3	3.3E-4	1.5E-5
64	1.9E-3	4.0E-5	1.4E-4	3.8E-5	1.4E-3	3.4E-4	1.5E-5
65	1.9E-3	4.0E-5	1.3E-4	3.8E-5	1.5E-3	3.4E-4	1.5E-5
66	1.9E-3	3.9E-5	1.3E-4	3.9E-5	1.5E-3	3.5E-4	1.5E-5
67	1.9E-3	3.9E-5	1.3E-4	3.9E-5	1.5E-3	3.5E-4	1.5E-5
68	1.9E-3	3.9E-5	1.3E-4	3.9E-5	1.5E-3	3.6E-4	1.6E-5
69	2.0E-3	3.8E-5	1.3E-4	3.9E-5	1.5E-3	3.6E-4	1.6E-5
70	2.0E-3	3.8E-5	1.3E-4	3.9E-5	1.5E-3	3.7E-4	1.6E-5
71	2.0E-3	3.7E-5	1.3E-4	4.0E-5	1.5E-3	3.7E-4	1.6E-5
72	2.0E-3	3.7E-5	1.3E-4	4.0E-5	1.5E-3	3.7E-4	1.6E-5
73	2.0E-3	3.7E-5	1.3E-4	4.0E-5	1.5E-3	3.8E-4	1.6E-5
74	2.0E-3	3.6E-5	1.3E-4	4.0E-5	1.6E-3	3.8E-4	1.7E-5
75	2.1E-3	3.6E-5	1.2E-4	4.1E-5	1.6E-3	3.9E-4	1.7E-5
76	2.1E-3	3.6E-5	1.2E-4	4.1E-5	1.6E-3	3.9E-4	1.7E-5
77	2.1E-3	3.5E-5	1.2E-4	4.1E-5	1.6E-3	4.0E-4	1.7E-5
78	2.1E-3	3.5E-5	1.2E-4	4.1E-5	1.6E-3	4.0E-4	1.7E-5
79	2.1E-3	3.5E-5	1.2E-4	4.1E-5	1.6E-3	4.1E-4	1.7E-5
80	2.1E-3	3.4E-5	1.2E-4	4.1E-5	1.6E-3	4.1E-4	1.7E-5
81	2.1E-3	3.4E-5	1.2E-4	4.2E-5	1.6E-3	4.2E-4	1.8E-5
82	2.2E-3	3.4E-5	1.2E-4	4.2E-5	1.6E-3	4.2E-4	1.8E-5
83	2.2E-3	3.4E-5	1.2E-4	4.2E-5	1.6E-3	4.2E-4	1.8E-5
84	2.2E-3	3.3E-5	1.2E-4	4.2E-5	1.6E-3	4.3E-4	1.8E-5
85	2.2E-3	3.3E-5	1.2E-4	4.2E-5	1.7E-3	4.3E-4	1.8E-5
86	2.2E-3	3.3E-5	1.1E-4	4.3E-5	1.7E-3	4.4E-4	1.8E-5
87	2.2E-3	3.2E-5	1.1E-4	4.3E-5	1.7E-3	4.4E-4	1.9E-5
88	2.2E-3	3.2E-5	1.1E-4	4.3E-5	1.7E-3	4.5E-4	1.9E-5
89	2.3E-3	3.2E-5	1.1E-4	4.3E-5	1.7E-3	4.5E-4	1.9E-5
90	2.3E-3	3.2E-5	1.1E-4	4.3E-5	1.7E-3	4.6E-4	1.9E-5
91	2.3E-3	3.1E-5	1.1E-4	4.3E-5	1.7E-3	4.6E-4	1.9E-5
92	2.3E-3	3.1E-5	1.1E-4	4.4E-5	1.7E-3	4.6E-4	1.9E-5
93	2.3E-3	3.1E-5	1.1E-4	4.4E-5	1.7E-3	4.7E-4	2.0E-5
94	2.3E-3	3.1E-5	1.1E-4	4.4E-5	1.7E-3	4.7E-4	2.0E-5
95	2.3E-3	3.0E-5	1.1E-4	4.4E-5	1.7E-3	4.8E-4	2.0E-5
96	2.3E-3	3.0E-5	1.1E-4	4.4E-5	1.7E-3	4.8E-4	2.0E-5
97	2.4E-3	3.0E-5	1.0E-4	4.4E-5	1.7E-3	4.9E-4	2.0E-5
98	2.4E-3	3.0E-5	1.0E-4	4.5E-5	1.7E-3	4.9E-4	2.0E-5
99	2.4E-3	3.0E-5	1.0E-4	4.5E-5	1.7E-3	4.9E-4	2.1E-5
100	2.4E-3	2.9E-5	1.0E-4	4.5E-5	1.8E-3	5.0E-4	2.1E-5
110	2.5E-3	2.7E-5	9.5E-5	4.6E-5	1.8E-3	5.4E-4	2.3E-5
120	2.6E-3	2.6E-5	8.8E-5	4.7E-5	1.8E-3	5.8E-4	2.4E-5
130	2.6E-3	2.4E-5	8.1E-5	4.8E-5	1.9E-3	6.2E-4	2.6E-5
140	2.7E-3	2.3E-5	7.5E-5	4.9E-5	1.9E-3	6.6E-4	2.8E-5
150	2.7E-3	2.1E-5	7.0E-5	5.0E-5	1.9E-3	7.0E-4	3.0E-5
160	2.8E-3	2.0E-5	6.4E-5	5.0E-5	1.9E-3	7.4E-4	3.2E-5
170	2.8E-3	1.9E-5	6.0E-5	5.1E-5	1.8E-3	7.8E-4	3.4E-5
180	2.8E-3	1.8E-5	5.5E-5	5.1E-5	1.8E-3	8.2E-4	3.7E-5
190	2.9E-3	1.7E-5	5.1E-5	5.2E-5	1.8E-3	8.5E-4	3.9E-5
200	2.9E-3	1.6E-5	4.7E-5	5.2E-5	1.8E-3	8.9E-4	4.1E-5
210	2.9E-3	1.6E-5	4.4E-5	5.2E-5	1.7E-3	9.2E-4	4.4E-5
