Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including thorium chloride, citrate, nitrate and sulphate; thorium fluoride, fA=5E-5
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	3.7E-7	-	-	1.1E-7	8.9E-8	2.2E-9	1.6E-9
0.083333	1.4E-6	-	-	4.7E-7	3.4E-7	1.3E-8	6.9E-9
0.125	3.1E-6	-	-	1.1E-6	7.1E-7	3.2E-8	1.4E-8
0.25	1.1E-5	-	-	4.7E-6	2.5E-6	1.5E-7	4.8E-8
0.375	2.2E-5	-	-	1.1E-5	5.1E-6	3.5E-7	1.0E-7
0.5	3.4E-5	-	-	1.9E-5	8.2E-6	6.3E-7	1.6E-7
0.625	4.8E-5	-	-	2.7E-5	1.2E-5	9.7E-7	2.4E-7
0.75	6.2E-5	-	-	3.7E-5	1.5E-5	1.4E-6	3.1E-7
0.875	7.5E-5	-	-	4.6E-5	1.9E-5	1.8E-6	3.9E-7
1	8.8E-5	8.3E-4	4.3E-2	5.4E-5	2.3E-5	2.3E-6	4.7E-7
1.125	9.9E-5	-	-	6.2E-5	2.7E-5	2.8E-6	5.5E-7
1.25	1.1E-4	-	-	6.8E-5	3.2E-5	3.3E-6	6.2E-7
1.375	1.2E-4	-	-	7.2E-5	3.6E-5	3.8E-6	6.9E-7
1.5	1.3E-4	-	-	7.5E-5	4.0E-5	4.3E-6	7.6E-7
1.625	1.3E-4	-	-	7.6E-5	4.4E-5	4.8E-6	8.3E-7
1.75	1.4E-4	-	-	7.7E-5	4.8E-5	5.2E-6	8.9E-7
1.875	1.4E-4	-	-	7.6E-5	5.2E-5	5.7E-6	9.5E-7
2	1.4E-4	2.5E-4	1.3E-1	7.4E-5	5.7E-5	6.2E-6	1.0E-6
2.25	1.4E-4	-	-	6.8E-5	6.5E-5	7.2E-6	1.1E-6
2.5	1.5E-4	-	-	6.1E-5	7.3E-5	8.1E-6	1.2E-6
2.75	1.5E-4	-	-	5.3E-5	8.1E-5	9.0E-6	1.3E-6
3	1.5E-4	1.4E-4	8.9E-2	4.6E-5	8.9E-5	9.8E-6	1.4E-6
3.25	1.5E-4	-	-	3.8E-5	9.7E-5	1.1E-5	1.5E-6
3.5	1.5E-4	-	-	3.2E-5	1.0E-4	1.1E-5	1.6E-6
3.75	1.6E-4	-	-	2.7E-5	1.1E-4	1.2E-5	1.7E-6
4	1.6E-4	1.1E-4	3.5E-2	2.3E-5	1.2E-4	1.3E-5	1.8E-6
4.25	1.7E-4	-	-	2.0E-5	1.3E-4	1.4E-5	1.8E-6
4.5	1.7E-4	-	-	1.7E-5	1.4E-4	1.4E-5	1.9E-6
4.75	1.8E-4	-	-	1.5E-5	1.4E-4	1.5E-5	2.0E-6
5	1.9E-4	9.8E-5	1.1E-2	1.4E-5	1.5E-4	1.6E-5	2.0E-6
5.5	2.0E-4	-	-	1.2E-5	1.7E-4	1.7E-5	2.2E-6
6	2.2E-4	8.8E-5	3.8E-3	1.1E-5	1.8E-4	1.9E-5	2.3E-6
6.5	2.3E-4	-	-	1.1E-5	2.0E-4	2.0E-5	2.4E-6
7	2.5E-4	8.0E-5	1.8E-3	1.1E-5	2.1E-4	2.1E-5	2.5E-6
7.5	2.6E-4	-	-	1.1E-5	2.2E-4	2.3E-5	2.6E-6
8	2.8E-4	7.4E-5	1.2E-3	1.1E-5	2.4E-4	2.4E-5	2.7E-6
8.5	3.0E-4	-	-	1.1E-5	2.5E-4	2.5E-5	2.8E-6
9	3.1E-4	6.9E-5	9.3E-4	1.1E-5	2.7E-4	2.6E-5	2.8E-6
9.5	3.3E-4	-	-	1.1E-5	2.8E-4	2.8E-5	2.9E-6
10	3.4E-4	6.6E-5	7.8E-4	1.2E-5	2.9E-4	2.9E-5	3.0E-6
11	3.7E-4	6.3E-5	6.6E-4	1.2E-5	3.2E-4	3.1E-5	3.1E-6
12	4.0E-4	6.0E-5	5.7E-4	1.2E-5	3.5E-4	3.4E-5	3.3E-6
13	4.3E-4	5.9E-5	5.0E-4	1.2E-5	3.7E-4	3.6E-5	3.4E-6
14	4.6E-4	5.7E-5	4.4E-4	1.2E-5	4.0E-4	3.9E-5	3.5E-6
15	4.9E-4	5.5E-5	3.9E-4	1.2E-5	4.2E-4	4.1E-5	3.6E-6
16	5.2E-4	5.4E-5	3.5E-4	1.3E-5	4.5E-4	4.4E-5	3.7E-6
17	5.4E-4	5.3E-5	3.2E-4	1.3E-5	4.7E-4	4.6E-5	3.9E-6
18	5.7E-4	5.2E-5	2.9E-4	1.3E-5	5.0E-4	4.9E-5	4.0E-6
19	6.0E-4	5.1E-5	2.7E-4	1.3E-5	5.2E-4	5.2E-5	4.1E-6
20	6.3E-4	5.0E-5	2.5E-4	1.3E-5	5.5E-4	5.4E-5	4.2E-6
21	6.5E-4	5.0E-5	2.3E-4	1.4E-5	5.7E-4	5.7E-5	4.3E-6
22	6.8E-4	4.9E-5	2.2E-4	1.4E-5	5.9E-4	5.9E-5	4.4E-6
23	7.1E-4	4.8E-5	2.1E-4	1.4E-5	6.2E-4	6.2E-5	4.5E-6
24	7.3E-4	4.8E-5	2.0E-4	1.5E-5	6.4E-4	6.5E-5	4.6E-6
25	7.6E-4	4.7E-5	1.9E-4	1.5E-5	6.6E-4	6.7E-5	4.7E-6
26	7.8E-4	4.6E-5	1.9E-4	1.5E-5	6.8E-4	7.0E-5	4.8E-6
27	8.1E-4	4.6E-5	1.8E-4	1.5E-5	7.0E-4	7.3E-5	4.9E-6
28	8.3E-4	4.5E-5	1.8E-4	1.6E-5	7.3E-4	7.5E-5	5.1E-6
29	8.6E-4	4.5E-5	1.7E-4	1.6E-5	7.5E-4	7.8E-5	5.2E-6
30	8.8E-4	4.4E-5	1.7E-4	1.6E-5	7.7E-4	8.1E-5	5.3E-6
31	9.0E-4	4.4E-5	1.7E-4	1.6E-5	7.9E-4	8.3E-5	5.4E-6
32	9.3E-4	4.3E-5	1.6E-4	1.7E-5	8.1E-4	8.6E-5	5.5E-6
33	9.5E-4	4.3E-5	1.6E-4	1.7E-5	8.3E-4	8.9E-5	5.6E-6
34	9.7E-4	4.2E-5	1.6E-4	1.7E-5	8.5E-4	9.2E-5	5.7E-6
35	1.0E-3	4.2E-5	1.6E-4	1.8E-5	8.6E-4	9.4E-5	5.8E-6
36	1.0E-3	4.1E-5	1.5E-4	1.8E-5	8.8E-4	9.7E-5	5.9E-6
37	1.0E-3	4.1E-5	1.5E-4	1.8E-5	9.0E-4	1.0E-4	6.0E-6
38	1.1E-3	4.1E-5	1.5E-4	1.8E-5	9.2E-4	1.0E-4	6.1E-6
39	1.1E-3	4.0E-5	1.5E-4	1.9E-5	9.4E-4	1.1E-4	6.2E-6
40	1.1E-3	4.0E-5	1.5E-4	1.9E-5	9.5E-4	1.1E-4	6.3E-6
41	1.1E-3	3.9E-5	1.5E-4	1.9E-5	9.7E-4	1.1E-4	6.4E-6
42	1.1E-3	3.9E-5	1.5E-4	1.9E-5	9.9E-4	1.1E-4	6.5E-6
43	1.2E-3	3.9E-5	1.4E-4	2.0E-5	1.0E-3	1.2E-4	6.6E-6
44	1.2E-3	3.8E-5	1.4E-4	2.0E-5	1.0E-3	1.2E-4	6.7E-6
45	1.2E-3	3.8E-5	1.4E-4	2.0E-5	1.0E-3	1.2E-4	6.8E-6
46	1.2E-3	3.8E-5	1.4E-4	2.0E-5	1.1E-3	1.3E-4	6.9E-6
47	1.2E-3	3.7E-5	1.4E-4	2.1E-5	1.1E-3	1.3E-4	7.0E-6
48	1.3E-3	3.7E-5	1.4E-4	2.1E-5	1.1E-3	1.3E-4	7.1E-6
49	1.3E-3	3.7E-5	1.4E-4	2.1E-5	1.1E-3	1.3E-4	7.2E-6
50	1.3E-3	3.6E-5	1.4E-4	2.1E-5	1.1E-3	1.4E-4	7.3E-6
51	1.3E-3	3.6E-5	1.3E-4	2.2E-5	1.1E-3	1.4E-4	7.5E-6
52	1.3E-3	3.6E-5	1.3E-4	2.2E-5	1.1E-3	1.4E-4	7.6E-6
53	1.4E-3	3.5E-5	1.3E-4	2.2E-5	1.2E-3	1.5E-4	7.7E-6
54	1.4E-3	3.5E-5	1.3E-4	2.2E-5	1.2E-3	1.5E-4	7.8E-6
55	1.4E-3	3.5E-5	1.3E-4	2.3E-5	1.2E-3	1.5E-4	7.9E-6
56	1.4E-3	3.4E-5	1.3E-4	2.3E-5	1.2E-3	1.5E-4	8.0E-6
57	1.4E-3	3.4E-5	1.3E-4	2.3E-5	1.2E-3	1.6E-4	8.1E-6
58	1.4E-3	3.4E-5	1.3E-4	2.3E-5	1.2E-3	1.6E-4	8.2E-6
59	1.5E-3	3.4E-5	1.3E-4	2.3E-5	1.2E-3	1.6E-4	8.3E-6
60	1.5E-3	3.3E-5	1.3E-4	2.4E-5	1.2E-3	1.7E-4	8.4E-6
61	1.5E-3	3.3E-5	1.2E-4	2.4E-5	1.3E-3	1.7E-4	8.5E-6
62	1.5E-3	3.3E-5	1.2E-4	2.4E-5	1.3E-3	1.7E-4	8.6E-6
63	1.5E-3	3.3E-5	1.2E-4	2.4E-5	1.3E-3	1.7E-4	8.7E-6
64	1.5E-3	3.2E-5	1.2E-4	2.4E-5	1.3E-3	1.8E-4	8.8E-6
65	1.5E-3	3.2E-5	1.2E-4	2.5E-5	1.3E-3	1.8E-4	8.9E-6
66	1.6E-3	3.2E-5	1.2E-4	2.5E-5	1.3E-3	1.8E-4	9.0E-6
67	1.6E-3	3.2E-5	1.2E-4	2.5E-5	1.3E-3	1.9E-4	9.1E-6
68	1.6E-3	3.1E-5	1.2E-4	2.5E-5	1.3E-3	1.9E-4	9.2E-6
69	1.6E-3	3.1E-5	1.2E-4	2.5E-5	1.3E-3	1.9E-4	9.3E-6
70	1.6E-3	3.1E-5	1.2E-4	2.6E-5	1.4E-3	1.9E-4	9.4E-6
71	1.6E-3	3.1E-5	1.2E-4	2.6E-5	1.4E-3	2.0E-4	9.5E-6
72	1.6E-3	3.0E-5	1.1E-4	2.6E-5	1.4E-3	2.0E-4	9.6E-6
73	1.7E-3	3.0E-5	1.1E-4	2.6E-5	1.4E-3	2.0E-4	9.7E-6
74	1.7E-3	3.0E-5	1.1E-4	2.6E-5	1.4E-3	2.1E-4	9.8E-6
75	1.7E-3	3.0E-5	1.1E-4	2.6E-5	1.4E-3	2.1E-4	9.9E-6
76	1.7E-3	2.9E-5	1.1E-4	2.7E-5	1.4E-3	2.1E-4	1.0E-5
77	1.7E-3	2.9E-5	1.1E-4	2.7E-5	1.4E-3	2.1E-4	1.0E-5
78	1.7E-3	2.9E-5	1.1E-4	2.7E-5	1.4E-3	2.2E-4	1.0E-5
79	1.7E-3	2.9E-5	1.1E-4	2.7E-5	1.4E-3	2.2E-4	1.0E-5
80	1.7E-3	2.9E-5	1.1E-4	2.7E-5	1.4E-3	2.2E-4	1.0E-5
81	1.7E-3	2.8E-5	1.1E-4	2.7E-5	1.5E-3	2.3E-4	1.1E-5
82	1.8E-3	2.8E-5	1.1E-4	2.8E-5	1.5E-3	2.3E-4	1.1E-5
83	1.8E-3	2.8E-5	1.0E-4	2.8E-5	1.5E-3	2.3E-4	1.1E-5
84	1.8E-3	2.8E-5	1.0E-4	2.8E-5	1.5E-3	2.4E-4	1.1E-5
85	1.8E-3	2.8E-5	1.0E-4	2.8E-5	1.5E-3	2.4E-4	1.1E-5
86	1.8E-3	2.7E-5	1.0E-4	2.8E-5	1.5E-3	2.4E-4	1.1E-5
87	1.8E-3	2.7E-5	1.0E-4	2.8E-5	1.5E-3	2.4E-4	1.1E-5
88	1.8E-3	2.7E-5	1.0E-4	2.9E-5	1.5E-3	2.5E-4	1.1E-5
89	1.8E-3	2.7E-5	1.0E-4	2.9E-5	1.5E-3	2.5E-4	1.1E-5
90	1.8E-3	2.7E-5	9.9E-5	2.9E-5	1.5E-3	2.5E-4	1.1E-5
91	1.9E-3	2.7E-5	9.8E-5	2.9E-5	1.5E-3	2.6E-4	1.2E-5
92	1.9E-3	2.6E-5	9.8E-5	2.9E-5	1.5E-3	2.6E-4	1.2E-5
93	1.9E-3	2.6E-5	9.7E-5	2.9E-5	1.5E-3	2.6E-4	1.2E-5
94	1.9E-3	2.6E-5	9.6E-5	2.9E-5	1.5E-3	2.6E-4	1.2E-5
95	1.9E-3	2.6E-5	9.5E-5	3.0E-5	1.5E-3	2.7E-4	1.2E-5
96	1.9E-3	2.6E-5	9.5E-5	3.0E-5	1.6E-3	2.7E-4	1.2E-5
97	1.9E-3	2.6E-5	9.4E-5	3.0E-5	1.6E-3	2.7E-4	1.2E-5
98	1.9E-3	2.5E-5	9.3E-5	3.0E-5	1.6E-3	2.8E-4	1.2E-5
99	1.9E-3	2.5E-5	9.2E-5	3.0E-5	1.6E-3	2.8E-4	1.2E-5
100	1.9E-3	2.5E-5	9.2E-5	3.0E-5	1.6E-3	2.8E-4	1.3E-5
110	2.0E-3	2.3E-5	8.5E-5	3.1E-5	1.6E-3	3.1E-4	1.4E-5
120	2.1E-3	2.2E-5	7.8E-5	3.2E-5	1.6E-3	3.4E-4	1.5E-5
130	2.1E-3	2.1E-5	7.3E-5	3.3E-5	1.7E-3	3.7E-4	1.6E-5
140	2.2E-3	1.9E-5	6.7E-5	3.4E-5	1.7E-3	3.9E-4	1.7E-5
