Radionuclide	Th-232
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	4.9E-7	-	-	1.8E-7	1.0E-8	-	-
0.083333	1.9E-6	-	-	7.9E-7	3.6E-8	-	-
0.125	4.0E-6	-	-	1.9E-6	7.2E-8	2.9E-10	1.5E-10
0.25	1.4E-5	-	-	8.0E-6	2.3E-7	2.0E-9	8.5E-10
0.375	2.8E-5	-	-	1.8E-5	4.4E-7	5.7E-9	2.1E-9
0.5	4.3E-5	-	-	3.1E-5	7.0E-7	1.1E-8	3.8E-9
0.625	6.0E-5	-	-	4.7E-5	1.0E-6	1.8E-8	5.8E-9
0.75	7.7E-5	-	-	6.3E-5	1.3E-6	2.6E-8	7.8E-9
0.875	9.2E-5	-	-	7.8E-5	1.6E-6	3.5E-8	9.9E-9
1	1.1E-4	8.4E-6	7.4E-2	9.2E-5	2.0E-6	4.4E-8	1.2E-8
1.125	1.2E-4	-	-	1.0E-4	2.3E-6	5.3E-8	1.4E-8
1.25	1.3E-4	-	-	1.1E-4	2.7E-6	6.2E-8	1.5E-8
1.375	1.3E-4	-	-	1.2E-4	3.0E-6	7.1E-8	1.6E-8
1.5	1.4E-4	-	-	1.3E-4	3.4E-6	7.9E-8	1.8E-8
1.625	1.4E-4	-	-	1.3E-4	3.7E-6	8.7E-8	1.9E-8
1.75	1.4E-4	-	-	1.3E-4	4.0E-6	9.4E-8	2.0E-8
1.875	1.4E-4	-	-	1.3E-4	4.4E-6	1.0E-7	2.0E-8
2	1.3E-4	3.4E-6	2.3E-1	1.2E-4	4.7E-6	1.1E-7	2.1E-8
2.25	1.2E-4	-	-	1.1E-4	5.4E-6	1.2E-7	2.2E-8
2.5	1.1E-4	-	-	9.8E-5	6.1E-6	1.3E-7	2.3E-8
2.75	9.1E-5	-	-	8.3E-5	6.7E-6	1.4E-7	2.3E-8
3	7.7E-5	1.5E-6	1.5E-1	6.9E-5	7.4E-6	1.5E-7	2.3E-8
3.25	6.5E-5	-	-	5.5E-5	8.0E-6	1.5E-7	2.4E-8
3.5	5.4E-5	-	-	4.4E-5	8.6E-6	1.6E-7	2.4E-8
3.75	4.4E-5	-	-	3.4E-5	9.2E-6	1.7E-7	2.4E-8
4	3.7E-5	1.1E-6	5.8E-2	2.6E-5	9.8E-6	1.8E-7	2.4E-8
4.25	3.1E-5	-	-	2.0E-5	1.0E-5	1.8E-7	2.4E-8
4.5	2.7E-5	-	-	1.5E-5	1.1E-5	1.9E-7	2.5E-8
4.75	2.4E-5	-	-	1.1E-5	1.2E-5	1.9E-7	2.5E-8
5	2.2E-5	8.9E-7	1.7E-2	8.5E-6	1.2E-5	2.0E-7	2.5E-8
5.5	1.9E-5	-	-	4.8E-6	1.3E-5	2.1E-7	2.5E-8
6	1.8E-5	7.5E-7	4.3E-3	2.8E-6	1.5E-5	2.2E-7	2.5E-8
6.5	1.9E-5	-	-	1.7E-6	1.6E-5	2.4E-7	2.6E-8
7	1.9E-5	6.5E-7	1.1E-3	1.2E-6	1.7E-5	2.5E-7	2.6E-8
7.5	2.0E-5	-	-	9.1E-7	1.8E-5	2.6E-7	2.6E-8
8	2.1E-5	5.7E-7	3.5E-4	7.7E-7	1.9E-5	2.7E-7	2.7E-8
8.5	2.2E-5	-	-	7.0E-7	2.0E-5	2.8E-7	2.7E-8
9	2.4E-5	5.1E-7	1.8E-4	6.6E-7	2.1E-5	2.9E-7	2.7E-8
9.5	2.5E-5	-	-	6.3E-7	2.2E-5	3.0E-7	2.7E-8
10	2.6E-5	4.6E-7	1.2E-4	6.0E-7	2.3E-5	3.1E-7	2.8E-8
11	2.8E-5	4.3E-7	1.0E-4	5.7E-7	2.6E-5	3.3E-7	2.8E-8
12	3.0E-5	3.9E-7	8.3E-5	5.3E-7	2.8E-5	3.5E-7	2.8E-8
13	3.3E-5	3.7E-7	7.1E-5	5.0E-7	3.0E-5	3.7E-7	2.9E-8
14	3.5E-5	3.5E-7	6.0E-5	4.7E-7	3.2E-5	3.9E-7	2.9E-8
15	3.7E-5	3.3E-7	5.2E-5	4.4E-7	3.4E-5	4.1E-7	2.9E-8
16	4.0E-5	3.1E-7	4.5E-5	4.2E-7	3.6E-5	4.3E-7	3.0E-8
17	4.2E-5	3.0E-7	3.9E-5	4.0E-7	3.8E-5	4.4E-7	3.0E-8
18	4.4E-5	2.8E-7	3.5E-5	3.8E-7	4.1E-5	4.6E-7	3.0E-8
19	4.6E-5	2.7E-7	3.1E-5	3.7E-7	4.3E-5	4.8E-7	3.1E-8
20	4.9E-5	2.6E-7	2.8E-5	3.6E-7	4.5E-5	5.0E-7	3.1E-8
21	5.1E-5	2.5E-7	2.5E-5	3.5E-7	4.7E-5	5.2E-7	3.1E-8
22	5.3E-5	2.4E-7	2.3E-5	3.4E-7	4.9E-5	5.4E-7	3.2E-8
23	5.6E-5	2.3E-7	2.1E-5	3.3E-7	5.1E-5	5.5E-7	3.2E-8
24	5.8E-5	2.3E-7	2.0E-5	3.3E-7	5.3E-5	5.7E-7	3.2E-8
25	6.0E-5	2.2E-7	1.9E-5	3.3E-7	5.5E-5	5.9E-7	3.3E-8
26	6.2E-5	2.1E-7	1.8E-5	3.3E-7	5.8E-5	6.1E-7	3.3E-8
27	6.5E-5	2.1E-7	1.7E-5	3.3E-7	6.0E-5	6.2E-7	3.4E-8
28	6.7E-5	2.0E-7	1.6E-5	3.3E-7	6.2E-5	6.4E-7	3.4E-8
29	6.9E-5	1.9E-7	1.6E-5	3.3E-7	6.4E-5	6.6E-7	3.4E-8
30	7.1E-5	1.9E-7	1.5E-5	3.3E-7	6.6E-5	6.7E-7	3.5E-8
31	7.4E-5	1.8E-7	1.5E-5	3.4E-7	6.8E-5	6.9E-7	3.5E-8
32	7.6E-5	1.8E-7	1.4E-5	3.4E-7	7.0E-5	7.1E-7	3.5E-8
33	7.8E-5	1.7E-7	1.4E-5	3.5E-7	7.2E-5	7.2E-7	3.6E-8
34	8.0E-5	1.7E-7	1.4E-5	3.5E-7	7.4E-5	7.4E-7	3.6E-8
35	8.2E-5	1.6E-7	1.4E-5	3.5E-7	7.6E-5	7.6E-7	3.6E-8
36	8.5E-5	1.6E-7	1.4E-5	3.6E-7	7.8E-5	7.7E-7	3.7E-8
37	8.7E-5	1.5E-7	1.3E-5	3.7E-7	8.0E-5	7.9E-7	3.7E-8
38	8.9E-5	1.5E-7	1.3E-5	3.7E-7	8.2E-5	8.1E-7	3.8E-8
39	9.1E-5	1.5E-7	1.3E-5	3.8E-7	8.4E-5	8.2E-7	3.8E-8
40	9.3E-5	1.4E-7	1.3E-5	3.8E-7	8.6E-5	8.4E-7	3.8E-8
41	9.5E-5	1.4E-7	1.3E-5	3.9E-7	8.8E-5	8.5E-7	3.9E-8
42	9.8E-5	1.4E-7	1.3E-5	4.0E-7	9.0E-5	8.7E-7	3.9E-8
43	1.0E-4	1.3E-7	1.3E-5	4.0E-7	9.2E-5	8.9E-7	4.0E-8
44	1.0E-4	1.3E-7	1.3E-5	4.1E-7	9.4E-5	9.0E-7	4.0E-8
45	1.0E-4	1.3E-7	1.3E-5	4.1E-7	9.6E-5	9.2E-7	4.0E-8
46	1.1E-4	1.3E-7	1.3E-5	4.2E-7	9.8E-5	9.3E-7	4.1E-8
47	1.1E-4	1.2E-7	1.3E-5	4.3E-7	1.0E-4	9.5E-7	4.1E-8
48	1.1E-4	1.2E-7	1.3E-5	4.3E-7	1.0E-4	9.6E-7	4.2E-8
49	1.1E-4	1.2E-7	1.3E-5	4.4E-7	1.0E-4	9.8E-7	4.2E-8
50	1.1E-4	1.2E-7	1.2E-5	4.5E-7	1.1E-4	9.9E-7	4.3E-8
51	1.2E-4	1.1E-7	1.2E-5	4.5E-7	1.1E-4	1.0E-6	4.3E-8
52	1.2E-4	1.1E-7	1.2E-5	4.6E-7	1.1E-4	1.0E-6	4.3E-8
53	1.2E-4	1.1E-7	1.2E-5	4.6E-7	1.1E-4	1.0E-6	4.4E-8
54	1.2E-4	1.1E-7	1.2E-5	4.7E-7	1.1E-4	1.1E-6	4.4E-8
55	1.2E-4	1.1E-7	1.2E-5	4.8E-7	1.1E-4	1.1E-6	4.5E-8
56	1.3E-4	1.0E-7	1.2E-5	4.8E-7	1.2E-4	1.1E-6	4.5E-8
57	1.3E-4	1.0E-7	1.2E-5	4.9E-7	1.2E-4	1.1E-6	4.6E-8
58	1.3E-4	1.0E-7	1.2E-5	4.9E-7	1.2E-4	1.1E-6	4.6E-8
59	1.3E-4	9.9E-8	1.2E-5	5.0E-7	1.2E-4	1.1E-6	4.7E-8
60	1.3E-4	9.7E-8	1.2E-5	5.1E-7	1.2E-4	1.1E-6	4.7E-8
61	1.4E-4	9.6E-8	1.2E-5	5.1E-7	1.3E-4	1.2E-6	4.8E-8
62	1.4E-4	9.5E-8	1.2E-5	5.2E-7	1.3E-4	1.2E-6	4.8E-8
63	1.4E-4	9.3E-8	1.2E-5	5.2E-7	1.3E-4	1.2E-6	4.8E-8
64	1.4E-4	9.2E-8	1.2E-5	5.3E-7	1.3E-4	1.2E-6	4.9E-8
65	1.4E-4	9.1E-8	1.2E-5	5.4E-7	1.3E-4	1.2E-6	4.9E-8
66	1.5E-4	9.0E-8	1.2E-5	5.4E-7	1.3E-4	1.2E-6	5.0E-8
67	1.5E-4	8.9E-8	1.2E-5	5.5E-7	1.4E-4	1.2E-6	5.0E-8
68	1.5E-4	8.8E-8	1.2E-5	5.5E-7	1.4E-4	1.3E-6	5.1E-8
69	1.5E-4	8.7E-8	1.2E-5	5.6E-7	1.4E-4	1.3E-6	5.1E-8
70	1.5E-4	8.6E-8	1.2E-5	5.6E-7	1.4E-4	1.3E-6	5.2E-8
71	1.6E-4	8.5E-8	1.2E-5	5.7E-7	1.4E-4	1.3E-6	5.2E-8
72	1.6E-4	8.4E-8	1.2E-5	5.7E-7	1.5E-4	1.3E-6	5.3E-8
73	1.6E-4	8.3E-8	1.2E-5	5.8E-7	1.5E-4	1.3E-6	5.3E-8
74	1.6E-4	8.2E-8	1.2E-5	5.8E-7	1.5E-4	1.3E-6	5.4E-8
75	1.6E-4	8.1E-8	1.2E-5	5.9E-7	1.5E-4	1.4E-6	5.4E-8
76	1.7E-4	8.1E-8	1.1E-5	6.0E-7	1.5E-4	1.4E-6	5.5E-8
77	1.7E-4	8.0E-8	1.1E-5	6.0E-7	1.5E-4	1.4E-6	5.5E-8
78	1.7E-4	7.9E-8	1.1E-5	6.1E-7	1.6E-4	1.4E-6	5.6E-8
79	1.7E-4	7.9E-8	1.1E-5	6.1E-7	1.6E-4	1.4E-6	5.6E-8
80	1.7E-4	7.8E-8	1.1E-5	6.2E-7	1.6E-4	1.4E-6	5.7E-8
81	1.7E-4	7.7E-8	1.1E-5	6.2E-7	1.6E-4	1.4E-6	5.8E-8
82	1.8E-4	7.7E-8	1.1E-5	6.3E-7	1.6E-4	1.5E-6	5.8E-8
83	1.8E-4	7.6E-8	1.1E-5	6.3E-7	1.6E-4	1.5E-6	5.9E-8
