Radionuclide	Mo-99
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride and ammonium molybdate, fA=0.9
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	8.0E-1	-	-	1.7E-1	3.6E-2	5.1E-2
0.083333	7.7E-1	-	-	1.1E-1	2.3E-2	1.0E-1
0.125	7.4E-1	-	-	8.3E-2	1.8E-2	1.3E-1
0.25	6.6E-1	-	-	5.9E-2	1.3E-2	1.7E-1
0.375	6.0E-1	-	-	5.3E-2	1.0E-2	1.9E-1
0.5	5.5E-1	-	-	4.9E-2	8.1E-3	1.9E-1
0.625	5.1E-1	-	-	4.5E-2	6.4E-3	2.0E-1
0.75	4.7E-1	-	-	4.1E-2	5.1E-3	2.0E-1
0.875	4.4E-1	-	-	3.7E-2	4.1E-3	2.0E-1
1	4.1E-1	1.2E-1	7.0E-3	3.4E-2	3.3E-3	2.0E-1
1.125	3.9E-1	-	-	3.0E-2	2.7E-3	1.9E-1
1.25	3.6E-1	-	-	2.7E-2	2.2E-3	1.9E-1
1.375	3.4E-1	-	-	2.4E-2	1.9E-3	1.8E-1
1.5	3.2E-1	-	-	2.2E-2	1.6E-3	1.8E-1
1.625	3.1E-1	-	-	1.9E-2	1.4E-3	1.7E-1
1.75	2.9E-1	-	-	1.7E-2	1.2E-3	1.7E-1
1.875	2.8E-1	-	-	1.5E-2	1.1E-3	1.6E-1
2	2.6E-1	3.5E-2	1.3E-2	1.3E-2	9.6E-4	1.6E-1
2.25	2.4E-1	-	-	9.9E-3	8.1E-4	1.5E-1
2.5	2.2E-1	-	-	7.6E-3	7.1E-4	1.4E-1
2.75	2.0E-1	-	-	5.8E-3	6.4E-4	1.3E-1
3	1.9E-1	9.9E-3	5.9E-3	4.5E-3	5.8E-4	1.2E-1
3.25	1.8E-1	-	-	3.6E-3	5.4E-4	1.1E-1
3.5	1.6E-1	-	-	2.9E-3	5.0E-4	1.1E-1
3.75	1.5E-1	-	-	2.4E-3	4.6E-4	1.0E-1
4	1.4E-1	3.0E-3	1.9E-3	2.0E-3	4.3E-4	9.3E-2
4.25	1.3E-1	-	-	1.8E-3	4.1E-4	8.7E-2
4.5	1.2E-1	-	-	1.5E-3	3.8E-4	8.2E-2
4.75	1.2E-1	-	-	1.4E-3	3.6E-4	7.6E-2
5	1.1E-1	1.3E-3	6.7E-4	1.3E-3	3.3E-4	7.1E-2
5.5	9.5E-2	-	-	1.1E-3	2.9E-4	6.2E-2
6	8.3E-2	8.3E-4	3.3E-4	9.1E-4	2.6E-4	5.4E-2
6.5	7.3E-2	-	-	7.9E-4	2.3E-4	4.8E-2
7	6.4E-2	6.0E-4	2.2E-4	6.9E-4	2.0E-4	4.2E-2
7.5	5.6E-2	-	-	6.0E-4	1.8E-4	3.6E-2
8	4.9E-2	4.5E-4	1.6E-4	5.3E-4	1.6E-4	3.2E-2
8.5	4.3E-2	-	-	4.6E-4	1.4E-4	2.8E-2
9	3.7E-2	3.5E-4	1.2E-4	4.1E-4	1.2E-4	2.4E-2
9.5	3.3E-2	-	-	3.6E-4	1.1E-4	2.1E-2
10	2.9E-2	2.7E-4	9.2E-5	3.1E-4	9.3E-5	1.9E-2
11	2.2E-2	2.0E-4	7.0E-5	2.4E-4	7.2E-5	1.4E-2
12	1.7E-2	1.6E-4	5.4E-5	1.9E-4	5.6E-5	1.1E-2
13	1.3E-2	1.2E-4	4.1E-5	1.4E-4	4.3E-5	8.3E-3
14	1.0E-2	9.3E-5	3.1E-5	1.1E-4	3.3E-5	6.3E-3
15	7.6E-3	7.2E-5	2.4E-5	8.5E-5	2.6E-5	4.8E-3
16	5.9E-3	5.5E-5	1.8E-5	6.5E-5	2.0E-5	3.7E-3
17	4.5E-3	4.3E-5	1.4E-5	5.0E-5	1.5E-5	2.8E-3
18	3.5E-3	3.3E-5	1.1E-5	3.9E-5	1.2E-5	2.1E-3
19	2.6E-3	2.5E-5	8.2E-6	3.0E-5	9.2E-6	1.6E-3
20	2.0E-3	1.9E-5	6.2E-6	2.3E-5	7.1E-6	1.3E-3
21	1.6E-3	1.5E-5	4.8E-6	1.8E-5	5.5E-6	9.6E-4
22	1.2E-3	1.2E-5	3.6E-6	1.4E-5	4.2E-6	7.3E-4
23	9.2E-4	8.8E-6	2.8E-6	1.0E-5	3.3E-6	5.6E-4
24	7.0E-4	6.8E-6	2.1E-6	8.0E-6	2.5E-6	4.3E-4
25	5.4E-4	5.2E-6	1.6E-6	6.2E-6	1.9E-6	3.3E-4
26	4.1E-4	4.0E-6	1.2E-6	4.7E-6	1.5E-6	2.5E-4
27	3.2E-4	3.1E-6	9.5E-7	3.6E-6	1.2E-6	1.9E-4
28	2.4E-4	2.4E-6	7.2E-7	2.8E-6	9.0E-7	1.5E-4
29	1.9E-4	1.8E-6	5.5E-7	2.2E-6	6.9E-7	1.1E-4
30	1.4E-4	1.4E-6	4.2E-7	1.7E-6	5.3E-7	8.5E-5
31	1.1E-4	1.1E-6	3.2E-7	1.3E-6	4.1E-7	6.5E-5
32	8.5E-5	8.4E-7	2.5E-7	9.8E-7	3.2E-7	5.0E-5
33	6.5E-5	6.4E-7	1.9E-7	7.5E-7	2.5E-7	3.8E-5
34	5.0E-5	4.9E-7	1.4E-7	5.8E-7	1.9E-7	2.9E-5
35	3.8E-5	3.8E-7	1.1E-7	4.5E-7	1.5E-7	2.2E-5
36	2.9E-5	2.9E-7	8.4E-8	3.4E-7	1.1E-7	1.7E-5
37	2.2E-5	2.2E-7	6.4E-8	2.6E-7	8.7E-8	1.3E-5
38	1.7E-5	1.7E-7	4.9E-8	2.0E-7	6.7E-8	9.9E-6
39	1.3E-5	1.3E-7	3.7E-8	1.6E-7	5.2E-8	7.5E-6
40	1.0E-5	1.0E-7	2.9E-8	1.2E-7	4.0E-8	5.7E-6
41	7.8E-6	7.9E-8	2.2E-8	9.2E-8	3.1E-8	4.4E-6
42	6.0E-6	6.0E-8	1.7E-8	7.1E-8	2.4E-8	3.4E-6
43	4.6E-6	4.6E-8	1.3E-8	5.5E-8	1.8E-8	2.6E-6
44	3.5E-6	3.6E-8	9.7E-9	4.2E-8	1.4E-8	2.0E-6
45	2.7E-6	2.7E-8	7.4E-9	3.2E-8	1.1E-8	1.5E-6
46	2.1E-6	2.1E-8	5.7E-9	2.5E-8	8.4E-9	1.1E-6
47	1.6E-6	1.6E-8	4.3E-9	1.9E-8	6.5E-9	8.7E-7
48	1.2E-6	1.2E-8	3.3E-9	1.5E-8	5.0E-9	6.7E-7
49	9.3E-7	9.6E-9	2.5E-9	1.1E-8	3.8E-9	5.1E-7
50	7.2E-7	7.4E-9	1.9E-9	8.6E-9	3.0E-9	3.9E-7
51	5.5E-7	5.7E-9	1.5E-9	6.6E-9	2.3E-9	3.0E-7
52	4.2E-7	4.4E-9	1.1E-9	5.1E-9	1.8E-9	2.3E-7
53	3.2E-7	3.4E-9	8.6E-10	3.9E-9	1.4E-9	1.7E-7
54	2.5E-7	2.6E-9	6.6E-10	3.0E-9	1.0E-9	1.3E-7
55	1.9E-7	2.0E-9	5.0E-10	2.3E-9	8.0E-10	1.0E-7
56	1.5E-7	1.5E-9	3.8E-10	1.8E-9	6.2E-10	7.7E-8
57	1.1E-7	1.2E-9	2.9E-10	1.4E-9	4.8E-10	5.9E-8
58	8.6E-8	9.0E-10	2.2E-10	1.1E-9	3.7E-10	4.5E-8
59	6.6E-8	6.9E-10	1.7E-10	5.6E-10	2.8E-10	3.4E-8
60	5.1E-8	5.3E-10	1.3E-10	4.3E-10	2.2E-10	2.6E-8
61	3.9E-8	4.1E-10	-	3.3E-10	1.7E-10	2.0E-8
62	3.0E-8	3.1E-10	-	2.5E-10	1.3E-10	1.5E-8
63	2.3E-8	2.4E-10	-	2.0E-10	-	1.2E-8
64	1.7E-8	1.9E-10	-	1.5E-10	-	9.0E-9
65	1.3E-8	1.4E-10	-	1.2E-10	-	6.9E-9
66	1.0E-8	1.1E-10	-	-	-	5.2E-9
67	7.9E-9	-	-	-	-	4.0E-9
68	6.0E-9	-	-	-	-	3.1E-9
69	4.6E-9	-	-	-	-	2.3E-9
70	3.6E-9	-	-	-	-	1.8E-9
71	2.7E-9	-	-	-	-	1.4E-9
72	2.1E-9	-	-	-	-	1.0E-9
73	1.6E-9	-	-	-	-	8.0E-10
74	1.2E-9	-	-	-	-	6.1E-10
75	9.4E-10	-	-	-	-	4.6E-10
76	7.2E-10	-	-	-	-	3.5E-10
77	5.5E-10	-	-	-	-	2.7E-10
78	4.3E-10	-	-	-	-	2.1E-10
79	3.3E-10	-	-	-	-	1.6E-10
80	2.5E-10	-	-	-	-	1.2E-10
81	1.9E-10	-	-	-	-	-
82	1.5E-10	-	-	-	-	-
83	1.1E-10	-	-	-	-	-
