Radionuclide	Mo-99
Route of Intake	Ingestion
Material	All other forms, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
0.041667	9.9E-1	-	-	6.6E-1	8.7E-2
0.083333	9.5E-1	-	-	3.6E-1	2.2E-1
0.125	9.1E-1	-	-	2.2E-1	3.1E-1
0.25	8.0E-1	-	-	1.2E-1	3.7E-1
0.375	7.4E-1	-	-	1.0E-1	3.6E-1
0.5	7.0E-1	-	-	9.1E-2	3.4E-1
0.625	6.6E-1	-	-	8.3E-2	3.3E-1
0.75	6.2E-1	-	-	7.5E-2	3.2E-1
0.875	5.9E-1	-	-	6.7E-2	3.1E-1
1	5.5E-1	2.0E-1	2.3E-2	6.0E-2	3.0E-1
1.125	5.2E-1	-	-	5.3E-2	2.9E-1
1.25	4.9E-1	-	-	4.6E-2	2.8E-1
1.375	4.7E-1	-	-	4.0E-2	2.7E-1
1.5	4.4E-1	-	-	3.5E-2	2.6E-1
1.625	4.2E-1	-	-	3.0E-2	2.5E-1
1.75	4.0E-1	-	-	2.6E-2	2.4E-1
1.875	3.8E-1	-	-	2.2E-2	2.3E-1
2	3.6E-1	3.7E-2	2.8E-2	1.9E-2	2.3E-1
2.25	3.3E-1	-	-	1.4E-2	2.1E-1
2.5	3.1E-1	-	-	1.0E-2	2.0E-1
2.75	2.8E-1	-	-	7.7E-3	1.8E-1
3	2.6E-1	9.5E-3	9.6E-3	5.9E-3	1.7E-1
3.25	2.5E-1	-	-	4.6E-3	1.6E-1
3.5	2.3E-1	-	-	3.8E-3	1.5E-1
3.75	2.1E-1	-	-	3.1E-3	1.4E-1
4	2.0E-1	3.2E-3	2.6E-3	2.7E-3	1.3E-1
4.25	1.9E-1	-	-	2.3E-3	1.2E-1
4.5	1.7E-1	-	-	2.1E-3	1.1E-1
4.75	1.6E-1	-	-	1.9E-3	1.1E-1
5	1.5E-1	1.7E-3	8.4E-4	1.7E-3	1.0E-1
5.5	1.3E-1	-	-	1.5E-3	8.8E-2
6	1.2E-1	1.1E-3	4.4E-4	1.3E-3	7.7E-2
6.5	1.0E-1	-	-	1.1E-3	6.7E-2
7	9.0E-2	8.3E-4	3.0E-4	9.7E-4	5.9E-2
7.5	7.8E-2	-	-	8.5E-4	5.1E-2
8	6.9E-2	6.4E-4	2.2E-4	7.5E-4	4.5E-2
8.5	6.0E-2	-	-	6.6E-4	3.9E-2
9	5.3E-2	4.9E-4	1.7E-4	5.7E-4	3.4E-2
9.5	4.6E-2	-	-	5.0E-4	3.0E-2
10	4.1E-2	3.8E-4	1.3E-4	4.4E-4	2.6E-2
11	3.1E-2	2.9E-4	9.9E-5	3.4E-4	2.0E-2
12	2.4E-2	2.2E-4	7.6E-5	2.6E-4	1.5E-2
13	1.8E-2	1.7E-4	5.8E-5	2.0E-4	1.2E-2
14	1.4E-2	1.3E-4	4.4E-5	1.6E-4	8.9E-3
15	1.1E-2	1.0E-4	3.4E-5	1.2E-4	6.8E-3
16	8.3E-3	7.8E-5	2.6E-5	9.2E-5	5.2E-3
17	6.3E-3	6.0E-5	2.0E-5	7.1E-5	4.0E-3
18	4.9E-3	4.6E-5	1.5E-5	5.4E-5	3.0E-3
19	3.7E-3	3.6E-5	1.1E-5	4.2E-5	2.3E-3
20	2.9E-3	2.7E-5	8.8E-6	3.2E-5	1.8E-3
21	2.2E-3	2.1E-5	6.7E-6	2.5E-5	1.4E-3
22	1.7E-3	1.6E-5	5.1E-6	1.9E-5	1.0E-3
23	1.3E-3	1.2E-5	3.9E-6	1.5E-5	7.9E-4
24	9.9E-4	9.6E-6	3.0E-6	1.1E-5	6.0E-4
25	7.6E-4	7.4E-6	2.3E-6	8.7E-6	4.6E-4
26	5.9E-4	5.7E-6	1.7E-6	6.7E-6	3.5E-4
27	4.5E-4	4.4E-6	1.3E-6	5.1E-6	2.7E-4
28	3.4E-4	3.4E-6	1.0E-6	4.0E-6	2.1E-4
29	2.6E-4	2.6E-6	7.8E-7	3.0E-6	1.6E-4
30	2.0E-4	2.0E-6	5.9E-7	2.3E-6	1.2E-4
31	1.6E-4	1.5E-6	4.5E-7	1.8E-6	9.1E-5
32	1.2E-4	1.2E-6	3.5E-7	1.4E-6	7.0E-5
33	9.2E-5	9.1E-7	2.6E-7	1.1E-6	5.3E-5
34	7.0E-5	7.0E-7	2.0E-7	8.2E-7	4.1E-5
35	5.4E-5	5.4E-7	1.5E-7	6.3E-7	3.1E-5
36	4.1E-5	4.1E-7	1.2E-7	4.8E-7	2.4E-5
37	3.2E-5	3.2E-7	9.0E-8	3.7E-7	1.8E-5
38	2.4E-5	2.4E-7	6.9E-8	2.9E-7	1.4E-5
39	1.9E-5	1.9E-7	5.3E-8	2.2E-7	1.1E-5
40	1.4E-5	1.4E-7	4.0E-8	1.7E-7	8.1E-6
41	1.1E-5	1.1E-7	3.1E-8	1.3E-7	6.2E-6
42	8.4E-6	8.5E-8	2.3E-8	1.0E-7	4.7E-6
43	6.5E-6	6.6E-8	1.8E-8	7.7E-8	3.6E-6
44	5.0E-6	5.0E-8	1.4E-8	5.9E-8	2.8E-6
45	3.8E-6	3.9E-8	1.0E-8	4.5E-8	2.1E-6
46	2.9E-6	3.0E-8	8.0E-9	3.5E-8	1.6E-6
47	2.2E-6	2.3E-8	6.1E-9	2.7E-8	1.2E-6
48	1.7E-6	1.8E-8	4.7E-9	2.1E-8	9.4E-7
49	1.3E-6	1.4E-8	3.6E-9	1.6E-8	7.2E-7
50	1.0E-6	1.0E-8	2.7E-9	1.2E-8	5.5E-7
51	7.8E-7	8.0E-9	2.1E-9	9.4E-9	4.2E-7
52	5.9E-7	6.2E-9	1.6E-9	7.2E-9	3.2E-7
53	4.6E-7	4.7E-9	1.2E-9	5.5E-9	2.4E-7
54	3.5E-7	3.6E-9	9.3E-10	4.3E-9	1.9E-7
55	2.7E-7	2.8E-9	7.1E-10	3.3E-9	1.4E-7
56	2.1E-7	2.1E-9	5.4E-10	2.5E-9	1.1E-7
57	1.6E-7	1.7E-9	4.1E-10	1.9E-9	8.3E-8
58	1.2E-7	1.3E-9	3.2E-10	1.5E-9	6.4E-8
59	9.3E-8	9.7E-10	2.4E-10	1.1E-9	4.9E-8
60	7.1E-8	7.5E-10	1.8E-10	6.0E-10	3.7E-8
61	5.5E-8	5.8E-10	1.4E-10	4.7E-10	2.8E-8
62	4.2E-8	4.4E-10	1.1E-10	3.6E-10	2.2E-8
63	3.2E-8	3.4E-10	-	2.8E-10	1.7E-8
64	2.5E-8	2.6E-10	-	2.1E-10	1.3E-8
65	1.9E-8	2.0E-10	-	1.6E-10	9.7E-9
66	1.5E-8	1.5E-10	-	1.3E-10	7.4E-9
67	1.1E-8	1.2E-10	-	-	5.6E-9
68	8.5E-9	-	-	-	4.3E-9
69	6.5E-9	-	-	-	3.3E-9
70	5.0E-9	-	-	-	2.5E-9
71	3.8E-9	-	-	-	1.9E-9
72	3.0E-9	-	-	-	1.5E-9
73	2.3E-9	-	-	-	1.1E-9
74	1.7E-9	-	-	-	8.6E-10
75	1.3E-9	-	-	-	6.5E-10
76	1.0E-9	-	-	-	5.0E-10
77	7.8E-10	-	-	-	3.8E-10
78	6.0E-10	-	-	-	2.9E-10
79	4.6E-10	-	-	-	2.2E-10
80	3.5E-10	-	-	-	1.7E-10
81	2.7E-10	-	-	-	1.3E-10
82	2.1E-10	-	-	-	-
83	1.6E-10	-	-	-	-
84	1.2E-10	-	-	-	-
