Radionuclide	Mo-99
Route of Intake	Injection
Material	Injection, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
0.041667	9.5E-1	-	-	3.6E-2	3.7E-1
0.083333	8.9E-1	-	-	2.5E-2	4.3E-1
0.125	8.4E-1	-	-	2.0E-2	4.3E-1
0.25	7.6E-1	-	-	1.4E-2	4.2E-1
0.375	7.2E-1	-	-	1.0E-2	4.0E-1
0.5	6.8E-1	-	-	7.8E-3	3.8E-1
0.625	6.4E-1	-	-	6.4E-3	3.7E-1
0.75	6.1E-1	-	-	5.6E-3	3.5E-1
0.875	5.8E-1	-	-	5.0E-3	3.4E-1
1	5.5E-1	2.3E-1	1.6E-4	4.7E-3	3.3E-1
1.125	5.2E-1	-	-	4.5E-3	3.2E-1
1.25	5.0E-1	-	-	4.3E-3	3.1E-1
1.375	4.7E-1	-	-	4.2E-3	3.0E-1
1.5	4.5E-1	-	-	4.1E-3	2.9E-1
1.625	4.4E-1	-	-	4.0E-3	2.8E-1
1.75	4.2E-1	-	-	3.9E-3	2.7E-1
1.875	4.0E-1	-	-	3.8E-3	2.6E-1
2	3.9E-1	3.9E-2	6.8E-4	3.8E-3	2.5E-1
2.25	3.6E-1	-	-	3.6E-3	2.3E-1
2.5	3.3E-1	-	-	3.4E-3	2.2E-1
2.75	3.1E-1	-	-	3.2E-3	2.0E-1
3	2.9E-1	9.9E-3	8.1E-4	3.0E-3	1.9E-1
3.25	2.7E-1	-	-	2.8E-3	1.8E-1
3.5	2.5E-1	-	-	2.7E-3	1.7E-1
3.75	2.4E-1	-	-	2.5E-3	1.6E-1
4	2.2E-1	3.4E-3	7.0E-4	2.4E-3	1.5E-1
4.25	2.1E-1	-	-	2.2E-3	1.4E-1
4.5	1.9E-1	-	-	2.1E-3	1.3E-1
4.75	1.8E-1	-	-	1.9E-3	1.2E-1
5	1.7E-1	1.8E-3	5.5E-4	1.8E-3	1.1E-1
5.5	1.5E-1	-	-	1.6E-3	9.7E-2
6	1.3E-1	1.2E-3	4.2E-4	1.4E-3	8.5E-2
6.5	1.1E-1	-	-	1.2E-3	7.4E-2
7	9.9E-2	9.2E-4	3.2E-4	1.1E-3	6.5E-2
7.5	8.7E-2	-	-	9.4E-4	5.7E-2
8	7.6E-2	7.1E-4	2.5E-4	8.3E-4	5.0E-2
8.5	6.7E-2	-	-	7.3E-4	4.3E-2
9	5.9E-2	5.4E-4	1.9E-4	6.4E-4	3.8E-2
9.5	5.1E-2	-	-	5.6E-4	3.3E-2
10	4.5E-2	4.2E-4	1.4E-4	4.9E-4	2.9E-2
11	3.5E-2	3.2E-4	1.1E-4	3.8E-4	2.2E-2
12	2.6E-2	2.5E-4	8.4E-5	2.9E-4	1.7E-2
13	2.0E-2	1.9E-4	6.4E-5	2.2E-4	1.3E-2
14	1.6E-2	1.5E-4	4.9E-5	1.7E-4	9.9E-3
15	1.2E-2	1.1E-4	3.7E-5	1.3E-4	7.5E-3
16	9.2E-3	8.7E-5	2.9E-5	1.0E-4	5.8E-3
17	7.0E-3	6.7E-5	2.2E-5	7.9E-5	4.4E-3
18	5.4E-3	5.1E-5	1.7E-5	6.0E-5	3.4E-3
19	4.1E-3	4.0E-5	1.3E-5	4.7E-5	2.6E-3
20	3.2E-3	3.0E-5	9.7E-6	3.6E-5	2.0E-3
21	2.4E-3	2.3E-5	7.4E-6	2.8E-5	1.5E-3
22	1.9E-3	1.8E-5	5.7E-6	2.1E-5	1.1E-3
23	1.4E-3	1.4E-5	4.3E-6	1.6E-5	8.7E-4
24	1.1E-3	1.1E-5	3.3E-6	1.3E-5	6.7E-4
25	8.5E-4	8.2E-6	2.5E-6	9.7E-6	5.1E-4
26	6.5E-4	6.3E-6	1.9E-6	7.4E-6	3.9E-4
27	5.0E-4	4.9E-6	1.5E-6	5.7E-6	3.0E-4
28	3.8E-4	3.7E-6	1.1E-6	4.4E-6	2.3E-4
29	2.9E-4	2.9E-6	8.6E-7	3.4E-6	1.7E-4
30	2.3E-4	2.2E-6	6.6E-7	2.6E-6	1.3E-4
31	1.7E-4	1.7E-6	5.0E-7	2.0E-6	1.0E-4
32	1.3E-4	1.3E-6	3.8E-7	1.5E-6	7.8E-5
33	1.0E-4	1.0E-6	2.9E-7	1.2E-6	5.9E-5
34	7.8E-5	7.7E-7	2.2E-7	9.1E-7	4.5E-5
35	6.0E-5	6.0E-7	1.7E-7	7.0E-7	3.5E-5
36	4.6E-5	4.6E-7	1.3E-7	5.4E-7	2.6E-5
37	3.5E-5	3.5E-7	1.0E-7	4.1E-7	2.0E-5
38	2.7E-5	2.7E-7	7.6E-8	3.2E-7	1.5E-5
39	2.1E-5	2.1E-7	5.8E-8	2.4E-7	1.2E-5
40	1.6E-5	1.6E-7	4.5E-8	1.9E-7	9.0E-6
41	1.2E-5	1.2E-7	3.4E-8	1.4E-7	6.9E-6
42	9.4E-6	9.5E-8	2.6E-8	1.1E-7	5.2E-6
43	7.2E-6	7.3E-8	2.0E-8	8.5E-8	4.0E-6
44	5.5E-6	5.6E-8	1.5E-8	6.6E-8	3.1E-6
45	4.2E-6	4.3E-8	1.2E-8	5.0E-8	2.3E-6
46	3.2E-6	3.3E-8	8.9E-9	3.9E-8	1.8E-6
47	2.5E-6	2.5E-8	6.8E-9	3.0E-8	1.4E-6
48	1.9E-6	2.0E-8	5.2E-9	2.3E-8	1.0E-6
49	1.5E-6	1.5E-8	4.0E-9	1.8E-8	8.0E-7
