Radionuclide	Ba-140
Route of Intake	Injection
Material	Injection, fA=0.2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	9.9E-1	-	-	3.0E-1	2.5E-1
0.083333	9.8E-1	-	-	3.3E-1	2.7E-1
0.125	9.7E-1	-	-	3.5E-1	2.8E-1
0.25	9.4E-1	-	-	4.0E-1	3.1E-1
0.375	9.2E-1	-	-	4.2E-1	3.1E-1
0.5	9.0E-1	-	-	4.2E-1	3.1E-1
0.625	8.7E-1	-	-	4.2E-1	3.0E-1
0.75	8.4E-1	-	-	4.1E-1	2.9E-1
0.875	8.1E-1	-	-	3.9E-1	2.8E-1
1	7.7E-1	5.4E-2	1.2E-1	3.7E-1	2.8E-1
1.125	7.3E-1	-	-	3.5E-1	2.7E-1
1.25	7.0E-1	-	-	3.3E-1	2.6E-1
1.375	6.6E-1	-	-	3.1E-1	2.5E-1
1.5	6.2E-1	-	-	2.9E-1	2.4E-1
1.625	5.9E-1	-	-	2.6E-1	2.3E-1
1.75	5.6E-1	-	-	2.4E-1	2.3E-1
1.875	5.3E-1	-	-	2.3E-1	2.2E-1
2	5.0E-1	8.6E-3	2.2E-1	2.1E-1	2.1E-1
2.25	4.5E-1	-	-	1.8E-1	2.0E-1
2.5	4.0E-1	-	-	1.5E-1	1.9E-1
2.75	3.7E-1	-	-	1.3E-1	1.8E-1
3	3.3E-1	5.6E-3	1.3E-1	1.1E-1	1.7E-1
3.25	3.1E-1	-	-	9.6E-2	1.6E-1
3.5	2.8E-1	-	-	8.4E-2	1.5E-1
3.75	2.6E-1	-	-	7.4E-2	1.5E-1
4	2.4E-1	3.7E-3	7.1E-2	6.5E-2	1.4E-1
4.25	2.2E-1	-	-	5.8E-2	1.3E-1
4.5	2.1E-1	-	-	5.1E-2	1.3E-1
4.75	2.0E-1	-	-	4.6E-2	1.2E-1
5	1.8E-1	2.4E-3	4.1E-2	4.1E-2	1.2E-1
5.5	1.6E-1	-	-	3.3E-2	1.1E-1
6	1.5E-1	1.6E-3	2.6E-2	2.7E-2	1.0E-1
6.5	1.3E-1	-	-	2.2E-2	9.6E-2
7	1.2E-1	1.1E-3	1.7E-2	1.8E-2	9.1E-2
7.5	1.1E-1	-	-	1.5E-2	8.6E-2
8	1.0E-1	7.2E-4	1.1E-2	1.2E-2	8.1E-2
8.5	9.6E-2	-	-	9.8E-3	7.8E-2
9	9.0E-2	4.9E-4	7.5E-3	8.0E-3	7.4E-2
9.5	8.4E-2	-	-	6.6E-3	7.1E-2
10	8.0E-2	3.3E-4	5.0E-3	5.5E-3	6.8E-2
11	7.2E-2	2.3E-4	3.4E-3	3.8E-3	6.3E-2
12	6.5E-2	1.6E-4	2.3E-3	2.7E-3	5.9E-2
13	6.0E-2	1.2E-4	1.6E-3	1.9E-3	5.5E-2
14	5.6E-2	8.8E-5	1.2E-3	1.4E-3	5.1E-2
15	5.2E-2	6.8E-5	8.6E-4	1.1E-3	4.8E-2
16	4.8E-2	5.4E-5	6.5E-4	8.5E-4	4.5E-2
17	4.5E-2	4.4E-5	5.0E-4	6.9E-4	4.2E-2
18	4.2E-2	3.7E-5	4.0E-4	5.7E-4	4.0E-2
19	4.0E-2	3.2E-5	3.3E-4	4.9E-4	3.7E-2
20	3.7E-2	2.8E-5	2.8E-4	4.3E-4	3.5E-2
21	3.5E-2	2.5E-5	2.5E-4	3.8E-4	3.3E-2
22	3.3E-2	2.2E-5	2.2E-4	3.5E-4	3.1E-2
23	3.1E-2	2.1E-5	2.0E-4	3.2E-4	2.9E-2
24	2.9E-2	1.9E-5	1.8E-4	2.9E-4	2.7E-2
25	2.8E-2	1.8E-5	1.6E-4	2.7E-4	2.6E-2
26	2.6E-2	1.6E-5	1.5E-4	2.5E-4	2.4E-2
27	2.4E-2	1.5E-5	1.4E-4	2.3E-4	2.3E-2
28	2.3E-2	1.4E-5	1.3E-4	2.2E-4	2.1E-2
29	2.2E-2	1.3E-5	1.2E-4	2.0E-4	2.0E-2
30	2.0E-2	1.2E-5	1.1E-4	1.9E-4	1.9E-2
31	1.9E-2	1.2E-5	1.1E-4	1.8E-4	1.8E-2
32	1.8E-2	1.1E-5	9.9E-5	1.7E-4	1.7E-2
33	1.7E-2	1.0E-5	9.2E-5	1.6E-4	1.6E-2
34	1.6E-2	9.4E-6	8.6E-5	1.5E-4	1.5E-2
35	1.5E-2	8.8E-6	8.1E-5	1.4E-4	1.4E-2
36	1.4E-2	8.3E-6	7.6E-5	1.3E-4	1.3E-2
37	1.3E-2	7.8E-6	7.1E-5	1.2E-4	1.2E-2
38	1.3E-2	7.3E-6	6.6E-5	1.1E-4	1.2E-2
39	1.2E-2	6.8E-6	6.2E-5	1.1E-4	1.1E-2
40	1.1E-2	6.4E-6	5.8E-5	1.0E-4	1.0E-2
41	1.0E-2	6.0E-6	5.5E-5	9.3E-5	9.8E-3
42	9.9E-3	5.6E-6	5.1E-5	8.8E-5	9.2E-3
43	9.3E-3	5.2E-6	4.8E-5	8.2E-5	8.7E-3
44	8.8E-3	4.9E-6	4.5E-5	7.7E-5	8.1E-3
45	8.2E-3	4.6E-6	4.2E-5	7.2E-5	7.7E-3
46	7.8E-3	4.3E-6	3.9E-5	6.8E-5	7.2E-3
47	7.3E-3	4.0E-6	3.7E-5	6.4E-5	6.8E-3
48	6.9E-3	3.8E-6	3.5E-5	6.0E-5	6.4E-3
49	6.5E-3	3.5E-6	3.2E-5	5.6E-5	6.0E-3
50	6.1E-3	3.3E-6	3.0E-5	5.3E-5	5.7E-3
51	5.8E-3	3.1E-6	2.8E-5	4.9E-5	5.3E-3
52	5.4E-3	2.9E-6	2.7E-5	4.6E-5	5.0E-3
53	5.1E-3	2.7E-6	2.5E-5	4.3E-5	4.7E-3
54	4.8E-3	2.6E-6	2.3E-5	4.1E-5	4.5E-3
55	4.5E-3	2.4E-6	2.2E-5	3.8E-5	4.2E-3
56	4.3E-3	2.2E-6	2.0E-5	3.6E-5	4.0E-3
57	4.0E-3	2.1E-6	1.9E-5	3.4E-5	3.7E-3
58	3.8E-3	2.0E-6	1.8E-5	3.2E-5	3.5E-3
59	3.6E-3	1.8E-6	1.7E-5	3.0E-5	3.3E-3
60	3.4E-3	1.7E-6	1.6E-5	2.8E-5	3.1E-3
61	3.2E-3	1.6E-6	1.5E-5	2.6E-5	2.9E-3
62	3.0E-3	1.5E-6	1.4E-5	2.4E-5	2.8E-3
63	2.8E-3	1.4E-6	1.3E-5	2.3E-5	2.6E-3
64	2.7E-3	1.3E-6	1.2E-5	2.2E-5	2.5E-3
65	2.5E-3	1.2E-6	1.1E-5	2.0E-5	2.3E-3
66	2.4E-3	1.2E-6	1.1E-5	1.9E-5	2.2E-3
67	2.2E-3	1.1E-6	1.0E-5	1.8E-5	2.1E-3
68	2.1E-3	1.0E-6	9.4E-6	1.7E-5	1.9E-3
69	2.0E-3	9.6E-7	8.8E-6	1.6E-5	1.8E-3
70	1.9E-3	9.0E-7	8.2E-6	1.5E-5	1.7E-3
71	1.8E-3	8.4E-7	7.7E-6	1.4E-5	1.6E-3
72	1.7E-3	7.9E-7	7.2E-6	1.3E-5	1.5E-3
73	1.6E-3	7.4E-7	6.7E-6	1.2E-5	1.4E-3
74	1.5E-3	6.9E-7	6.3E-6	1.1E-5	1.4E-3
75	1.4E-3	6.5E-7	5.9E-6	1.1E-5	1.3E-3
76	1.3E-3	6.1E-7	5.5E-6	1.0E-5	1.2E-3
77	1.2E-3	5.7E-7	5.2E-6	9.4E-6	1.1E-3
78	1.2E-3	5.3E-7	4.9E-6	8.9E-6	1.1E-3
79	1.1E-3	5.0E-7	4.6E-6	8.3E-6	1.0E-3
80	1.0E-3	4.7E-7	4.3E-6	7.8E-6	9.5E-4
81	9.7E-4	4.4E-7	4.0E-6	7.3E-6	8.9E-4
82	9.1E-4	4.1E-7	3.8E-6	6.9E-6	8.4E-4
83	8.6E-4	3.8E-7	3.5E-6	6.5E-6	7.9E-4
84	8.1E-4	3.6E-7	3.3E-6	6.1E-6	7.5E-4
85	7.7E-4	3.4E-7	3.1E-6	5.7E-6	7.0E-4
86	7.2E-4	3.2E-7	2.9E-6	5.3E-6	6.6E-4
87	6.8E-4	3.0E-7	2.7E-6	5.0E-6	6.3E-4
88	6.4E-4	2.8E-7	2.5E-6	4.7E-6	5.9E-4
89	6.1E-4	2.6E-7	2.4E-6	4.4E-6	5.6E-4
90	5.7E-4	2.4E-7	2.2E-6	4.1E-6	5.2E-4
91	5.4E-4	2.3E-7	2.1E-6	3.9E-6	4.9E-4
92	5.1E-4	2.1E-7	2.0E-6	3.7E-6	4.7E-4
93	4.8E-4	2.0E-7	1.8E-6	3.4E-6	4.4E-4
94	4.5E-4	1.9E-7	1.7E-6	3.2E-6	4.1E-4
95	4.3E-4	1.8E-7	1.6E-6	3.0E-6	3.9E-4
96	4.0E-4	1.6E-7	1.5E-6	2.8E-6	3.7E-4
97	3.8E-4	1.5E-7	1.4E-6	2.7E-6	3.5E-4
98	3.6E-4	1.4E-7	1.3E-6	2.5E-6	3.3E-4
99	3.4E-4	1.4E-7	1.2E-6	2.4E-6	3.1E-4
100	3.2E-4	1.3E-7	1.2E-6	2.2E-6	2.9E-4
110	1.8E-4	6.6E-8	6.1E-7	1.2E-6	1.6E-4
120	1.0E-4	3.5E-8	3.2E-7	6.3E-7	9.1E-5
130	5.6E-5	1.8E-8	1.7E-7	3.4E-7	5.1E-5
140	3.1E-5	9.4E-9	8.6E-8	1.8E-7	2.9E-5
150	1.8E-5	4.9E-9	4.5E-8	9.9E-8	1.6E-5
160	1.0E-5	2.6E-9	2.4E-8	5.3E-8	9.1E-6
170	5.7E-6	1.4E-9	1.2E-8	2.9E-8	5.1E-6
180	3.2E-6	7.1E-10	6.5E-9	1.6E-8	2.9E-6
190	1.8E-6	3.7E-10	3.4E-9	8.6E-9	1.6E-6
200	1.0E-6	2.0E-10	1.8E-9	4.7E-9	9.3E-7
210	5.9E-7	1.0E-10	9.5E-10	2.6E-9	5.3E-7
220	3.4E-7	-	5.0E-10	1.4E-9	3.0E-7
230	1.9E-7	-	2.6E-10	7.9E-10	1.7E-7
240	1.1E-7	-	1.4E-10	4.4E-10	9.9E-8
250	6.4E-8	-	-	2.4E-10	5.7E-8
260	3.6E-8	-	-	1.3E-10	3.2E-8
270	2.1E-8	-	-	-	1.9E-8
280	1.2E-8	-	-	-	1.1E-8
290	6.9E-9	-	-	-	6.1E-9
300	4.0E-9	-	-	-	3.5E-9
310	2.3E-9	-	-	-	2.0E-9
320	1.3E-9	-	-	-	1.2E-9
330	7.6E-10	-	-	-	6.7E-10
340	4.4E-10	-	-	-	3.9E-10
350	2.5E-10	-	-	-	2.2E-10
360	1.5E-10	-	-	-	1.3E-10
365	1.1E-10	-	-	-	-
