Radionuclide	C-11
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*
0.041667	1.3E-1	1.4E-2	6.4E-3	3.4E-3
0.083333	1.6E-2	1.2E-3	8.2E-4	4.6E-4
0.125	2.0E-3	1.3E-4	1.1E-4	5.9E-5
0.25	4.0E-6	2.1E-7	2.1E-7	1.1E-7
0.375	8.0E-9	3.5E-10	3.8E-10	2.0E-10
