Radionuclide	C-11
Route of Intake	Inhalation
Material	Aerosols Type S, Elemental carbon, carbon tritide, fA=1E-2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*
0.041667	1.0E-1	3.6E-2	5.0E-3
0.083333	1.3E-2	5.2E-3	5.9E-4
0.125	1.6E-3	7.4E-4	7.4E-5
0.25	3.5E-6	1.9E-6	1.5E-7
0.375	7.4E-9	4.7E-9	2.5E-10
