Radionuclide	C-11
Route of Intake	Inhalation
Material	Gas or vapour Type V, Carbon monoxide 
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	4.3E-2	3.0E-3
0.083333	4.4E-3	3.1E-4
0.125	4.7E-4	3.3E-5
0.25	5.6E-7	3.9E-8
0.375	6.6E-10	-
