Radionuclide	I-128
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Thyroid*	Liver*
0.041667	1.9E-1	2.1E-2	1.0E-2	8.1E-3
0.083333	3.3E-2	4.6E-3	3.0E-3	1.2E-3
0.125	5.9E-3	8.6E-4	7.5E-4	2.0E-4
0.25	3.3E-5	4.3E-6	8.0E-6	9.1E-7
0.375	1.8E-7	2.1E-8	6.7E-8	4.3E-9
0.5	1.1E-9	1.0E-10	5.2E-10	-
