Radionuclide	Mo-99
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride and ammonium molybdate, fA=0.9
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	7.5E-1	-	-	1.6E-1	2.3E-2	4.3E-2
0.083333	7.2E-1	-	-	1.1E-1	1.8E-2	8.6E-2
0.125	7.0E-1	-	-	8.1E-2	1.5E-2	1.2E-1
0.25	6.2E-1	-	-	5.7E-2	1.2E-2	1.5E-1
0.375	5.6E-1	-	-	5.2E-2	9.5E-3	1.7E-1
0.5	5.2E-1	-	-	4.8E-2	7.6E-3	1.8E-1
0.625	4.8E-1	-	-	4.4E-2	6.1E-3	1.8E-1
0.75	4.5E-1	-	-	4.0E-2	4.9E-3	1.8E-1
0.875	4.2E-1	-	-	3.7E-2	3.9E-3	1.8E-1
1	3.9E-1	1.1E-1	6.9E-3	3.3E-2	3.2E-3	1.8E-1
1.125	3.6E-1	-	-	3.0E-2	2.6E-3	1.8E-1
1.25	3.4E-1	-	-	2.7E-2	2.1E-3	1.7E-1
1.375	3.2E-1	-	-	2.4E-2	1.8E-3	1.7E-1
1.5	3.0E-1	-	-	2.1E-2	1.5E-3	1.7E-1
1.625	2.9E-1	-	-	1.9E-2	1.3E-3	1.6E-1
1.75	2.7E-1	-	-	1.6E-2	1.1E-3	1.6E-1
1.875	2.6E-1	-	-	1.4E-2	1.0E-3	1.5E-1
2	2.5E-1	3.3E-2	1.2E-2	1.3E-2	9.1E-4	1.5E-1
2.25	2.3E-1	-	-	9.6E-3	7.6E-4	1.4E-1
2.5	2.1E-1	-	-	7.3E-3	6.6E-4	1.3E-1
2.75	1.9E-1	-	-	5.6E-3	5.9E-4	1.2E-1
3	1.8E-1	9.4E-3	5.8E-3	4.4E-3	5.4E-4	1.1E-1
3.25	1.6E-1	-	-	3.4E-3	5.0E-4	1.1E-1
3.5	1.5E-1	-	-	2.8E-3	4.6E-4	9.9E-2
3.75	1.4E-1	-	-	2.3E-3	4.3E-4	9.3E-2
4	1.3E-1	2.9E-3	1.9E-3	1.9E-3	4.0E-4	8.7E-2
4.25	1.2E-1	-	-	1.7E-3	3.8E-4	8.1E-2
4.5	1.1E-1	-	-	1.5E-3	3.5E-4	7.6E-2
4.75	1.1E-1	-	-	1.3E-3	3.3E-4	7.1E-2
5	1.0E-1	1.3E-3	6.4E-4	1.2E-3	3.1E-4	6.6E-2
5.5	8.8E-2	-	-	9.8E-4	2.7E-4	5.8E-2
6	7.7E-2	7.7E-4	3.1E-4	8.5E-4	2.4E-4	5.1E-2
6.5	6.7E-2	-	-	7.3E-4	2.1E-4	4.4E-2
7	5.9E-2	5.6E-4	2.0E-4	6.4E-4	1.9E-4	3.9E-2
7.5	5.2E-2	-	-	5.6E-4	1.6E-4	3.4E-2
8	4.5E-2	4.2E-4	1.5E-4	4.9E-4	1.4E-4	3.0E-2
8.5	4.0E-2	-	-	4.3E-4	1.3E-4	2.6E-2
9	3.5E-2	3.2E-4	1.1E-4	3.8E-4	1.1E-4	2.3E-2
9.5	3.0E-2	-	-	3.3E-4	9.8E-5	2.0E-2
10	2.7E-2	2.5E-4	8.6E-5	2.9E-4	8.6E-5	1.7E-2
