Radionuclide	Tc-96m
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified forms, fA=0.18
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	2.9E-1	-	1.1E-1	6.2E-3	4.4E-5	6.9E-5	1.5E-4
0.083333	1.3E-1	-	5.3E-2	2.5E-3	5.0E-5	7.8E-5	2.0E-4
0.125	5.7E-2	-	2.5E-2	1.0E-3	3.6E-5	5.9E-5	1.6E-4
0.25	4.9E-3	-	2.5E-3	8.1E-5	5.4E-6	1.2E-5	3.2E-5
0.375	4.2E-4	-	2.5E-4	6.8E-6	5.6E-7	1.6E-6	3.8E-6
0.5	3.6E-5	-	2.3E-5	5.8E-7	5.2E-8	1.8E-7	3.6E-7
0.625	3.0E-6	-	2.1E-6	4.9E-8	4.5E-9	1.9E-8	3.1E-8
0.75	2.6E-7	-	1.9E-7	4.2E-9	3.8E-10	1.9E-9	2.5E-9
0.875	2.2E-8	-	1.7E-8	2.9E-10	-	-	2.0E-10
1	1.8E-9	2.5E-10	1.3E-9	-	-	-	-
1.125	1.5E-10	-	-	-	-	-	-
