Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type M, Irradiated fuel fragments, all unspecified forms, fA=0.2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	8.2E-1	-	-	7.5E-2	6.3E-1	1.3E-3	1.5E-3
0.083333	8.2E-1	-	-	9.1E-2	6.1E-1	2.6E-3	3.2E-3
0.125	8.2E-1	-	-	1.0E-1	5.9E-1	3.9E-3	5.0E-3
0.25	8.1E-1	-	-	1.2E-1	5.6E-1	7.4E-3	9.6E-3
0.375	8.1E-1	-	-	1.3E-1	5.4E-1	1.0E-2	1.3E-2
0.5	8.0E-1	-	-	1.4E-1	5.2E-1	1.3E-2	1.5E-2
0.625	7.9E-1	-	-	1.5E-1	5.1E-1	1.4E-2	1.6E-2
0.75	7.9E-1	-	-	1.5E-1	5.0E-1	1.6E-2	1.7E-2
0.875	7.8E-1	-	-	1.5E-1	4.9E-1	1.7E-2	1.7E-2
1	7.7E-1	6.4E-3	2.2E-2	1.4E-1	4.9E-1	1.8E-2	1.7E-2
1.125	7.6E-1	-	-	1.4E-1	4.8E-1	1.8E-2	1.6E-2
1.25	7.5E-1	-	-	1.4E-1	4.8E-1	1.9E-2	1.6E-2
1.375	7.4E-1	-	-	1.3E-1	4.8E-1	1.9E-2	1.5E-2
1.5	7.3E-1	-	-	1.2E-1	4.7E-1	2.0E-2	1.5E-2
1.625	7.2E-1	-	-	1.2E-1	4.7E-1	2.0E-2	1.5E-2
1.75	7.1E-1	-	-	1.1E-1	4.6E-1	2.0E-2	1.4E-2
1.875	7.0E-1	-	-	1.0E-1	4.6E-1	2.0E-2	1.4E-2
2	6.9E-1	3.7E-3	7.0E-2	9.8E-2	4.6E-1	2.1E-2	1.4E-2
2.25	6.8E-1	-	-	8.7E-2	4.5E-1	2.1E-2	1.3E-2
2.5	6.6E-1	-	-	7.6E-2	4.5E-1	2.1E-2	1.3E-2
2.75	6.5E-1	-	-	6.8E-2	4.4E-1	2.1E-2	1.2E-2
3	6.4E-1	2.5E-3	5.2E-2	6.1E-2	4.4E-1	2.1E-2	1.2E-2
3.25	6.3E-1	-	-	5.5E-2	4.3E-1	2.1E-2	1.2E-2
3.5	6.2E-1	-	-	5.1E-2	4.3E-1	2.1E-2	1.2E-2
3.75	6.1E-1	-	-	4.7E-2	4.3E-1	2.1E-2	1.2E-2
4	6.1E-1	2.0E-3	2.9E-2	4.4E-2	4.2E-1	2.1E-2	1.2E-2
4.25	6.0E-1	-	-	4.2E-2	4.2E-1	2.1E-2	1.2E-2
4.5	6.0E-1	-	-	4.0E-2	4.1E-1	2.1E-2	1.2E-2
4.75	5.9E-1	-	-	3.8E-2	4.1E-1	2.1E-2	1.2E-2
5	5.9E-1	1.8E-3	1.7E-2	3.7E-2	4.1E-1	2.1E-2	1.1E-2
5.5	5.8E-1	-	-	3.5E-2	4.0E-1	2.1E-2	1.1E-2
6	5.7E-1	1.7E-3	1.2E-2	3.3E-2	4.0E-1	2.1E-2	1.1E-2
6.5	5.7E-1	-	-	3.2E-2	3.9E-1	2.0E-2	1.1E-2
7	5.6E-1	1.6E-3	9.6E-3	3.0E-2	3.9E-1	2.0E-2	1.1E-2
7.5	5.6E-1	-	-	2.9E-2	3.8E-1	2.0E-2	1.1E-2
8	5.5E-1	1.5E-3	7.8E-3	2.8E-2	3.8E-1	2.0E-2	1.1E-2
8.5	5.5E-1	-	-	2.7E-2	3.7E-1	2.0E-2	1.1E-2
9	5.5E-1	1.4E-3	6.5E-3	2.7E-2	3.7E-1	2.0E-2	1.1E-2
9.5	5.4E-1	-	-	2.6E-2	3.7E-1	2.0E-2	1.1E-2
10	5.4E-1	1.4E-3	5.4E-3	2.5E-2	3.6E-1	2.0E-2	1.1E-2
11	5.3E-1	1.4E-3	4.5E-3	2.4E-2	3.6E-1	2.0E-2	1.2E-2
12	5.3E-1	1.4E-3	3.8E-3	2.3E-2	3.5E-1	2.0E-2	1.2E-2
13	5.2E-1	1.3E-3	3.2E-3	2.3E-2	3.5E-1	2.0E-2	1.2E-2
14	5.2E-1	1.3E-3	2.8E-3	2.2E-2	3.4E-1	2.0E-2	1.2E-2
15	5.1E-1	1.3E-3	2.4E-3	2.2E-2	3.4E-1	1.9E-2	1.2E-2
16	5.1E-1	1.3E-3	2.1E-3	2.1E-2	3.4E-1	1.9E-2	1.2E-2
17	5.1E-1	1.3E-3	1.8E-3	2.1E-2	3.3E-1	1.9E-2	1.2E-2
18	5.0E-1	1.3E-3	1.6E-3	2.1E-2	3.3E-1	1.9E-2	1.2E-2
19	5.0E-1	1.3E-3	1.4E-3	2.1E-2	3.3E-1	1.9E-2	1.2E-2
20	5.0E-1	1.3E-3	1.3E-3	2.0E-2	3.3E-1	1.9E-2	1.2E-2
21	5.0E-1	1.3E-3	1.2E-3	2.0E-2	3.2E-1	1.9E-2	1.2E-2
22	4.9E-1	1.3E-3	1.1E-3	2.0E-2	3.2E-1	1.9E-2	1.2E-2
23	4.9E-1	1.3E-3	1.0E-3	2.0E-2	3.2E-1	1.9E-2	1.2E-2
24	4.9E-1	1.3E-3	9.4E-4	2.0E-2	3.2E-1	1.9E-2	1.2E-2
25	4.9E-1	1.3E-3	8.8E-4	2.0E-2	3.1E-1	1.9E-2	1.2E-2
26	4.9E-1	1.3E-3	8.4E-4	2.0E-2	3.1E-1	1.9E-2	1.2E-2
27	4.8E-1	1.3E-3	8.0E-4	2.0E-2	3.1E-1	1.9E-2	1.2E-2
28	4.8E-1	1.3E-3	7.7E-4	2.0E-2	3.1E-1	1.9E-2	1.2E-2
29	4.8E-1	1.3E-3	7.5E-4	2.0E-2	3.0E-1	1.9E-2	1.2E-2
30	4.8E-1	1.3E-3	7.3E-4	2.0E-2	3.0E-1	1.9E-2	1.2E-2
31	4.8E-1	1.3E-3	7.1E-4	2.0E-2	3.0E-1	1.9E-2	1.2E-2
32	4.7E-1	1.3E-3	6.9E-4	2.0E-2	3.0E-1	1.9E-2	1.2E-2
33	4.7E-1	1.3E-3	6.8E-4	2.0E-2	3.0E-1	1.9E-2	1.2E-2
34	4.7E-1	1.3E-3	6.7E-4	2.0E-2	2.9E-1	1.9E-2	1.2E-2
35	4.7E-1	1.3E-3	6.6E-4	2.0E-2	2.9E-1	1.9E-2	1.2E-2
36	4.7E-1	1.3E-3	6.5E-4	2.0E-2	2.9E-1	1.9E-2	1.2E-2
37	4.6E-1	1.3E-3	6.4E-4	2.0E-2	2.9E-1	1.9E-2	1.2E-2
38	4.6E-1	1.3E-3	6.3E-4	2.0E-2	2.9E-1	1.9E-2	1.2E-2
39	4.6E-1	1.3E-3	6.3E-4	2.0E-2	2.8E-1	1.9E-2	1.2E-2
40	4.6E-1	1.3E-3	6.2E-4	2.0E-2	2.8E-1	1.9E-2	1.2E-2
41	4.6E-1	1.3E-3	6.2E-4	2.0E-2	2.8E-1	1.9E-2	1.2E-2
42	4.5E-1	1.3E-3	6.1E-4	2.0E-2	2.8E-1	1.9E-2	1.2E-2
43	4.5E-1	1.3E-3	6.1E-4	2.0E-2	2.8E-1	1.9E-2	1.2E-2
44	4.5E-1	1.3E-3	6.0E-4	2.0E-2	2.8E-1	1.9E-2	1.2E-2
45	4.5E-1	1.3E-3	6.0E-4	2.0E-2	2.7E-1	1.9E-2	1.2E-2
46	4.5E-1	1.3E-3	5.9E-4	2.0E-2	2.7E-1	1.9E-2	1.2E-2
47	4.4E-1	1.3E-3	5.9E-4	2.0E-2	2.7E-1	1.9E-2	1.2E-2
48	4.4E-1	1.3E-3	5.9E-4	2.0E-2	2.7E-1	1.9E-2	1.2E-2
49	4.4E-1	1.3E-3	5.8E-4	2.0E-2	2.7E-1	1.9E-2	1.2E-2
