Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type F, Caesium chloride, nitrate, sulphate, fA=0.99
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	8.2E-1	-	-	1.7E-1	4.5E-2	5.3E-2	6.7E-2
0.083333	8.2E-1	-	-	1.6E-1	3.8E-2	5.9E-2	7.9E-2
0.125	8.1E-1	-	-	1.5E-1	4.0E-2	6.4E-2	8.5E-2
0.25	8.0E-1	-	-	1.2E-1	4.3E-2	7.3E-2	9.3E-2
0.375	7.9E-1	-	-	1.0E-1	4.5E-2	8.0E-2	9.3E-2
0.5	7.8E-1	-	-	9.3E-2	4.6E-2	8.4E-2	9.0E-2
0.625	7.7E-1	-	-	8.8E-2	4.6E-2	8.7E-2	8.7E-2
0.75	7.7E-1	-	-	8.5E-2	4.6E-2	8.9E-2	8.3E-2
0.875	7.6E-1	-	-	8.3E-2	4.6E-2	9.1E-2	7.9E-2
1	7.6E-1	3.8E-2	1.8E-3	8.2E-2	4.6E-2	9.3E-2	7.5E-2
1.125	7.6E-1	-	-	8.1E-2	4.5E-2	9.4E-2	7.2E-2
1.25	7.5E-1	-	-	8.0E-2	4.5E-2	9.5E-2	6.9E-2
1.375	7.5E-1	-	-	7.9E-2	4.5E-2	9.5E-2	6.6E-2
1.5	7.5E-1	-	-	7.8E-2	4.4E-2	9.6E-2	6.4E-2
1.625	7.4E-1	-	-	7.7E-2	4.4E-2	9.6E-2	6.2E-2
1.75	7.4E-1	-	-	7.7E-2	4.4E-2	9.6E-2	6.1E-2
1.875	7.4E-1	-	-	7.6E-2	4.4E-2	9.6E-2	5.9E-2
2	7.4E-1	1.3E-2	3.2E-3	7.6E-2	4.3E-2	9.6E-2	5.8E-2
2.25	7.3E-1	-	-	7.5E-2	4.3E-2	9.5E-2	5.5E-2
2.5	7.3E-1	-	-	7.4E-2	4.2E-2	9.5E-2	5.4E-2
2.75	7.3E-1	-	-	7.4E-2	4.2E-2	9.4E-2	5.2E-2
3	7.3E-1	9.2E-3	2.4E-3	7.3E-2	4.2E-2	9.3E-2	5.1E-2
3.25	7.2E-1	-	-	7.3E-2	4.2E-2	9.2E-2	5.0E-2
3.5	7.2E-1	-	-	7.3E-2	4.1E-2	9.1E-2	4.9E-2
3.75	7.2E-1	-	-	7.2E-2	4.1E-2	9.1E-2	4.9E-2
4	7.2E-1	7.4E-3	1.6E-3	7.2E-2	4.1E-2	9.0E-2	4.8E-2
4.25	7.1E-1	-	-	7.2E-2	4.1E-2	8.9E-2	4.8E-2
4.5	7.1E-1	-	-	7.2E-2	4.1E-2	8.8E-2	4.7E-2
4.75	7.1E-1	-	-	7.2E-2	4.1E-2	8.7E-2	4.7E-2
5	7.1E-1	6.3E-3	1.2E-3	7.1E-2	4.1E-2	8.6E-2	4.6E-2
5.5	7.1E-1	-	-	7.1E-2	4.0E-2	8.5E-2	4.6E-2
6	7.0E-1	5.7E-3	9.9E-4	7.1E-2	4.0E-2	8.3E-2	4.5E-2
6.5	7.0E-1	-	-	7.1E-2	4.0E-2	8.2E-2	4.5E-2
7	7.0E-1	5.3E-3	8.6E-4	7.0E-2	4.0E-2	8.1E-2	4.5E-2
7.5	6.9E-1	-	-	7.0E-2	4.0E-2	8.0E-2	4.4E-2
8	6.9E-1	5.0E-3	7.9E-4	7.0E-2	4.0E-2	7.9E-2	4.4E-2
8.5	6.9E-1	-	-	7.0E-2	4.0E-2	7.8E-2	4.4E-2
9	6.8E-1	4.8E-3	7.4E-4	7.0E-2	4.0E-2	7.7E-2	4.3E-2
9.5	6.8E-1	-	-	6.9E-2	3.9E-2	7.6E-2	4.3E-2
10	6.8E-1	4.7E-3	7.1E-4	6.9E-2	3.9E-2	7.5E-2	4.3E-2
11	6.7E-1	4.6E-3	6.8E-4	6.9E-2	3.9E-2	7.4E-2	4.3E-2
12	6.7E-1	4.5E-3	6.6E-4	6.8E-2	3.9E-2	7.2E-2	4.2E-2
