Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type M, Irradiated fuel fragments, all unspecified forms, fA=0.2
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	5.8E-1	-	-	3.6E-2	4.8E-1	9.4E-4	1.1E-3
0.083333	5.8E-1	-	-	4.5E-2	4.7E-1	1.9E-3	2.4E-3
0.125	5.8E-1	-	-	5.0E-2	4.6E-1	2.8E-3	3.6E-3
0.25	5.7E-1	-	-	6.1E-2	4.3E-1	5.3E-3	6.9E-3
0.375	5.7E-1	-	-	6.8E-2	4.2E-1	7.4E-3	9.2E-3
0.5	5.7E-1	-	-	7.1E-2	4.1E-1	9.0E-3	1.1E-2
0.625	5.6E-1	-	-	7.4E-2	4.0E-1	1.0E-2	1.1E-2
0.75	5.6E-1	-	-	7.4E-2	3.9E-1	1.1E-2	1.2E-2
0.875	5.6E-1	-	-	7.4E-2	3.9E-1	1.2E-2	1.2E-2
1	5.5E-1	4.6E-3	1.0E-2	7.3E-2	3.8E-1	1.3E-2	1.2E-2
1.125	5.5E-1	-	-	7.1E-2	3.8E-1	1.3E-2	1.2E-2
1.25	5.4E-1	-	-	6.9E-2	3.8E-1	1.3E-2	1.1E-2
1.375	5.4E-1	-	-	6.7E-2	3.8E-1	1.4E-2	1.1E-2
1.5	5.3E-1	-	-	6.4E-2	3.7E-1	1.4E-2	1.1E-2
1.625	5.3E-1	-	-	6.1E-2	3.7E-1	1.4E-2	1.0E-2
1.75	5.2E-1	-	-	5.8E-2	3.7E-1	1.4E-2	1.0E-2
1.875	5.2E-1	-	-	5.5E-2	3.7E-1	1.4E-2	9.8E-3
2	5.1E-1	2.6E-3	3.3E-2	5.2E-2	3.7E-1	1.5E-2	9.5E-3
2.25	5.1E-1	-	-	4.6E-2	3.6E-1	1.5E-2	9.2E-3
2.5	5.0E-1	-	-	4.1E-2	3.6E-1	1.5E-2	8.9E-3
