Radionuclide	Cs-137
Route of Intake	Ingestion
Material	Relatively insoluble forms, irradiated fuel fragments, fA=0.1
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	9.4E-1	-	-	9.4E-1	5.2E-4	7.0E-4	7.6E-4
0.083333	9.4E-1	-	-	9.3E-1	1.3E-3	1.9E-3	2.3E-3
0.125	9.4E-1	-	-	9.1E-1	2.1E-3	3.1E-3	3.9E-3
0.25	9.4E-1	-	-	8.9E-1	3.8E-3	6.2E-3	8.0E-3
0.375	9.3E-1	-	-	8.6E-1	4.8E-3	8.1E-3	1.0E-2
0.5	9.1E-1	-	-	8.4E-1	5.3E-3	9.2E-3	1.1E-2
0.625	8.9E-1	-	-	8.1E-1	5.5E-3	1.0E-2	1.1E-2
0.75	8.5E-1	-	-	7.7E-1	5.6E-3	1.0E-2	1.1E-2
0.875	8.0E-1	-	-	7.2E-1	5.6E-3	1.1E-2	1.0E-2
1	7.5E-1	4.2E-3	1.9E-1	6.7E-1	5.6E-3	1.1E-2	9.7E-3
1.125	7.0E-1	-	-	6.2E-1	5.5E-3	1.1E-2	9.2E-3
1.25	6.4E-1	-	-	5.6E-1	5.5E-3	1.1E-2	8.7E-3
1.375	5.8E-1	-	-	5.0E-1	5.4E-3	1.1E-2	8.4E-3
1.5	5.3E-1	-	-	4.5E-1	5.4E-3	1.1E-2	8.0E-3
1.625	4.8E-1	-	-	4.0E-1	5.3E-3	1.1E-2	7.7E-3
1.75	4.3E-1	-	-	3.5E-1	5.3E-3	1.1E-2	7.5E-3
1.875	3.9E-1	-	-	3.1E-1	5.2E-3	1.1E-2	7.2E-3
2	3.5E-1	1.7E-3	4.0E-1	2.7E-1	5.2E-3	1.1E-2	7.0E-3
2.25	2.8E-1	-	-	2.0E-1	5.1E-3	1.1E-2	6.7E-3
2.5	2.3E-1	-	-	1.5E-1	5.1E-3	1.1E-2	6.5E-3
2.75	1.9E-1	-	-	1.1E-1	5.0E-3	1.1E-2	6.3E-3
3	1.6E-1	1.1E-3	1.9E-1	8.0E-2	5.0E-3	1.1E-2	6.1E-3
