Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type F, Caesium chloride, nitrate, sulphate, fA=0.99
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	2.8E-1	-	-	5.6E-2	1.3E-2	1.5E-2	2.0E-2
0.083333	2.8E-1	-	-	5.1E-2	1.1E-2	1.8E-2	2.3E-2
0.125	2.7E-1	-	-	4.6E-2	1.2E-2	1.9E-2	2.6E-2
0.25	2.7E-1	-	-	3.7E-2	1.3E-2	2.3E-2	2.9E-2
0.375	2.6E-1	-	-	3.3E-2	1.4E-2	2.5E-2	2.9E-2
0.5	2.6E-1	-	-	3.1E-2	1.4E-2	2.6E-2	2.9E-2
0.625	2.6E-1	-	-	2.9E-2	1.5E-2	2.8E-2	2.8E-2
0.75	2.5E-1	-	-	2.8E-2	1.5E-2	2.9E-2	2.7E-2
0.875	2.5E-1	-	-	2.8E-2	1.5E-2	2.9E-2	2.6E-2
1	2.5E-1	1.2E-2	6.1E-4	2.7E-2	1.5E-2	3.0E-2	2.5E-2
1.125	2.5E-1	-	-	2.7E-2	1.5E-2	3.0E-2	2.4E-2
1.25	2.5E-1	-	-	2.6E-2	1.5E-2	3.1E-2	2.3E-2
1.375	2.5E-1	-	-	2.6E-2	1.5E-2	3.1E-2	2.2E-2
1.5	2.5E-1	-	-	2.6E-2	1.5E-2	3.1E-2	2.1E-2
1.625	2.4E-1	-	-	2.6E-2	1.4E-2	3.1E-2	2.1E-2
1.75	2.4E-1	-	-	2.5E-2	1.4E-2	3.1E-2	2.0E-2
1.875	2.4E-1	-	-	2.5E-2	1.4E-2	3.1E-2	2.0E-2
2	2.4E-1	4.5E-3	1.1E-3	2.5E-2	1.4E-2	3.1E-2	1.9E-2
2.25	2.4E-1	-	-	2.5E-2	1.4E-2	3.1E-2	1.8E-2
2.5	2.4E-1	-	-	2.4E-2	1.4E-2	3.1E-2	1.8E-2
2.75	2.4E-1	-	-	2.4E-2	1.4E-2	3.1E-2	1.7E-2
3	2.4E-1	3.1E-3	8.5E-4	2.4E-2	1.4E-2	3.1E-2	1.7E-2
3.25	2.4E-1	-	-	2.4E-2	1.4E-2	3.0E-2	1.6E-2
3.5	2.4E-1	-	-	2.4E-2	1.4E-2	3.0E-2	1.6E-2
3.75	2.4E-1	-	-	2.4E-2	1.3E-2	3.0E-2	1.6E-2
4	2.3E-1	2.4E-3	5.7E-4	2.4E-2	1.3E-2	2.9E-2	1.6E-2
4.25	2.3E-1	-	-	2.4E-2	1.3E-2	2.9E-2	1.6E-2
4.5	2.3E-1	-	-	2.4E-2	1.3E-2	2.9E-2	1.5E-2
4.75	2.3E-1	-	-	2.3E-2	1.3E-2	2.9E-2	1.5E-2
5	2.3E-1	2.1E-3	4.1E-4	2.3E-2	1.3E-2	2.8E-2	1.5E-2
5.5	2.3E-1	-	-	2.3E-2	1.3E-2	2.8E-2	1.5E-2
6	2.3E-1	1.9E-3	3.3E-4	2.3E-2	1.3E-2	2.7E-2	1.5E-2
6.5	2.3E-1	-	-	2.3E-2	1.3E-2	2.7E-2	1.5E-2
7	2.3E-1	1.7E-3	2.8E-4	2.3E-2	1.3E-2	2.6E-2	1.5E-2
7.5	2.3E-1	-	-	2.3E-2	1.3E-2	2.6E-2	1.4E-2
8	2.3E-1	1.6E-3	2.6E-4	2.3E-2	1.3E-2	2.6E-2	1.4E-2
8.5	2.3E-1	-	-	2.3E-2	1.3E-2	2.5E-2	1.4E-2
9	2.2E-1	1.6E-3	2.4E-4	2.3E-2	1.3E-2	2.5E-2	1.4E-2
9.5	2.2E-1	-	-	2.3E-2	1.3E-2	2.5E-2	1.4E-2
10	2.2E-1	1.5E-3	2.3E-4	2.3E-2	1.3E-2	2.5E-2	1.4E-2
11	2.2E-1	1.5E-3	2.2E-4	2.3E-2	1.3E-2	2.4E-2	1.4E-2
12	2.2E-1	1.5E-3	2.2E-4	2.2E-2	1.3E-2	2.4E-2	1.4E-2
13	2.2E-1	1.4E-3	2.1E-4	2.2E-2	1.3E-2	2.3E-2	1.4E-2
14	2.2E-1	1.4E-3	2.1E-4	2.2E-2	1.3E-2	2.3E-2	1.4E-2
15	2.1E-1	1.4E-3	2.1E-4	2.2E-2	1.2E-2	2.3E-2	1.4E-2
16	2.1E-1	1.4E-3	2.0E-4	2.2E-2	1.2E-2	2.2E-2	1.3E-2
17	2.1E-1	1.4E-3	2.0E-4	2.2E-2	1.2E-2	2.2E-2	1.3E-2
18	2.1E-1	1.4E-3	2.0E-4	2.2E-2	1.2E-2	2.2E-2	1.3E-2
