Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	7.2E-1	-	-	2.6E-1	3.6E-2	1.8E-5	2.1E-5
0.083333	7.1E-1	-	-	2.9E-1	3.3E-2	4.9E-5	6.2E-5
0.125	7.0E-1	-	-	3.2E-1	3.2E-2	8.8E-5	1.1E-4
0.25	6.8E-1	-	-	3.8E-1	2.9E-2	2.1E-4	2.7E-4
0.375	6.6E-1	-	-	4.2E-1	2.8E-2	3.2E-4	4.0E-4
0.5	6.4E-1	-	-	4.5E-1	2.8E-2	4.1E-4	4.9E-4
0.625	6.2E-1	-	-	4.6E-1	2.8E-2	4.8E-4	5.5E-4
0.75	5.9E-1	-	-	4.7E-1	2.8E-2	5.3E-4	5.8E-4
0.875	5.7E-1	-	-	4.6E-1	2.8E-2	5.8E-4	5.9E-4
1	5.4E-1	2.2E-4	7.8E-2	4.5E-1	2.7E-2	6.2E-4	6.0E-4
1.125	5.1E-1	-	-	4.3E-1	2.7E-2	6.5E-4	5.9E-4
1.25	4.8E-1	-	-	4.1E-1	2.7E-2	6.7E-4	5.8E-4
1.375	4.4E-1	-	-	3.8E-1	2.7E-2	6.9E-4	5.7E-4
1.5	4.1E-1	-	-	3.6E-1	2.7E-2	7.1E-4	5.5E-4
1.625	3.7E-1	-	-	3.3E-1	2.7E-2	7.2E-4	5.4E-4
1.75	3.4E-1	-	-	3.0E-1	2.7E-2	7.3E-4	5.2E-4
1.875	3.1E-1	-	-	2.7E-1	2.7E-2	7.3E-4	5.1E-4
2	2.8E-1	1.4E-4	2.5E-1	2.4E-1	2.6E-2	7.4E-4	5.0E-4
2.25	2.3E-1	-	-	1.9E-1	2.6E-2	7.4E-4	4.7E-4
2.5	1.8E-1	-	-	1.5E-1	2.6E-2	7.5E-4	4.5E-4
2.75	1.4E-1	-	-	1.1E-1	2.6E-2	7.4E-4	4.4E-4
3	1.2E-1	8.6E-5	1.6E-1	8.4E-2	2.6E-2	7.4E-4	4.2E-4
3.25	9.4E-2	-	-	6.2E-2	2.6E-2	7.4E-4	4.1E-4
3.5	7.7E-2	-	-	4.6E-2	2.5E-2	7.3E-4	4.0E-4
3.75	6.4E-2	-	-	3.3E-2	2.5E-2	7.2E-4	3.9E-4
4	5.5E-2	6.4E-5	6.1E-2	2.4E-2	2.5E-2	7.2E-4	3.9E-4
4.25	4.8E-2	-	-	1.8E-2	2.5E-2	7.1E-4	3.8E-4
4.5	4.3E-2	-	-	1.3E-2	2.5E-2	7.0E-4	3.8E-4
4.75	3.9E-2	-	-	9.4E-3	2.5E-2	7.0E-4	3.7E-4
5	3.7E-2	5.4E-5	1.8E-2	6.9E-3	2.5E-2	6.9E-4	3.7E-4
5.5	3.4E-2	-	-	4.0E-3	2.4E-2	6.8E-4	3.7E-4
6	3.2E-2	4.7E-5	4.8E-3	2.5E-3	2.4E-2	6.7E-4	3.6E-4
6.5	3.1E-2	-	-	1.8E-3	2.4E-2	6.6E-4	3.6E-4
7	3.0E-2	4.4E-5	1.4E-3	1.5E-3	2.4E-2	6.5E-4	3.5E-4
