Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type M, Irradiated fuel fragments, all unspecified forms, fA=0.2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	3.1E-1	-	-	2.5E-2	2.4E-1	4.8E-4	5.7E-4
0.083333	3.1E-1	-	-	3.0E-2	2.3E-1	9.6E-4	1.2E-3
0.125	3.0E-1	-	-	3.4E-2	2.3E-1	1.4E-3	1.9E-3
0.25	3.0E-1	-	-	4.0E-2	2.2E-1	2.8E-3	3.6E-3
0.375	3.0E-1	-	-	4.4E-2	2.1E-1	3.8E-3	4.8E-3
0.5	3.0E-1	-	-	4.6E-2	2.0E-1	4.7E-3	5.6E-3
0.625	3.0E-1	-	-	4.8E-2	2.0E-1	5.4E-3	6.0E-3
0.75	2.9E-1	-	-	4.8E-2	2.0E-1	5.9E-3	6.2E-3
0.875	2.9E-1	-	-	4.8E-2	1.9E-1	6.3E-3	6.2E-3
1	2.9E-1	2.4E-3	7.1E-3	4.7E-2	1.9E-1	6.6E-3	6.1E-3
1.125	2.9E-1	-	-	4.5E-2	1.9E-1	6.8E-3	6.0E-3
1.25	2.8E-1	-	-	4.4E-2	1.9E-1	7.0E-3	5.9E-3
1.375	2.8E-1	-	-	4.2E-2	1.9E-1	7.2E-3	5.7E-3
1.5	2.8E-1	-	-	4.0E-2	1.9E-1	7.3E-3	5.5E-3
1.625	2.7E-1	-	-	3.7E-2	1.9E-1	7.4E-3	5.4E-3
1.75	2.7E-1	-	-	3.5E-2	1.8E-1	7.5E-3	5.2E-3
1.875	2.7E-1	-	-	3.3E-2	1.8E-1	7.5E-3	5.1E-3
2	2.6E-1	1.4E-3	2.2E-2	3.1E-2	1.8E-1	7.6E-3	5.0E-3
2.25	2.6E-1	-	-	2.7E-2	1.8E-1	7.7E-3	4.8E-3
2.5	2.5E-1	-	-	2.4E-2	1.8E-1	7.7E-3	4.6E-3
2.75	2.5E-1	-	-	2.1E-2	1.8E-1	7.7E-3	4.5E-3
3	2.5E-1	9.0E-4	1.6E-2	1.9E-2	1.8E-1	7.7E-3	4.4E-3
3.25	2.4E-1	-	-	1.7E-2	1.8E-1	7.7E-3	4.4E-3
3.5	2.4E-1	-	-	1.5E-2	1.7E-1	7.7E-3	4.3E-3
3.75	2.4E-1	-	-	1.4E-2	1.7E-1	7.7E-3	4.3E-3
4	2.4E-1	7.3E-4	8.4E-3	1.3E-2	1.7E-1	7.6E-3	4.2E-3
4.25	2.4E-1	-	-	1.3E-2	1.7E-1	7.6E-3	4.2E-3
4.5	2.3E-1	-	-	1.2E-2	1.7E-1	7.6E-3	4.2E-3
4.75	2.3E-1	-	-	1.2E-2	1.7E-1	7.6E-3	4.2E-3
5	2.3E-1	6.4E-4	4.7E-3	1.1E-2	1.7E-1	7.5E-3	4.2E-3
5.5	2.3E-1	-	-	1.1E-2	1.7E-1	7.5E-3	4.1E-3
6	2.3E-1	5.9E-4	3.2E-3	1.0E-2	1.7E-1	7.5E-3	4.1E-3
6.5	2.3E-1	-	-	1.0E-2	1.6E-1	7.4E-3	4.1E-3
7	2.2E-1	5.6E-4	2.5E-3	9.7E-3	1.6E-1	7.4E-3	4.1E-3
7.5	2.2E-1	-	-	9.4E-3	1.6E-1	7.3E-3	4.1E-3
8	2.2E-1	5.4E-4	2.1E-3	9.2E-3	1.6E-1	7.3E-3	4.1E-3
8.5	2.2E-1	-	-	9.0E-3	1.6E-1	7.3E-3	4.1E-3
9	2.2E-1	5.2E-4	1.7E-3	8.8E-3	1.6E-1	7.2E-3	4.1E-3
9.5	2.2E-1	-	-	8.7E-3	1.6E-1	7.2E-3	4.2E-3
10	2.2E-1	5.1E-4	1.5E-3	8.5E-3	1.6E-1	7.2E-3	4.2E-3
11	2.2E-1	5.0E-4	1.2E-3	8.3E-3	1.5E-1	7.2E-3	4.2E-3
12	2.1E-1	5.0E-4	1.1E-3	8.1E-3	1.5E-1	7.1E-3	4.2E-3
13	2.1E-1	4.9E-4	9.2E-4	7.9E-3	1.5E-1	7.1E-3	4.2E-3
14	2.1E-1	4.9E-4	8.0E-4	7.8E-3	1.5E-1	7.1E-3	4.2E-3
15	2.1E-1	4.9E-4	7.1E-4	7.7E-3	1.5E-1	7.1E-3	4.2E-3
16	2.1E-1	4.9E-4	6.3E-4	7.6E-3	1.5E-1	7.1E-3	4.3E-3
17	2.1E-1	4.9E-4	5.7E-4	7.6E-3	1.5E-1	7.1E-3	4.3E-3
18	2.1E-1	4.8E-4	5.1E-4	7.5E-3	1.4E-1	7.1E-3	4.3E-3
19	2.1E-1	4.8E-4	4.7E-4	7.5E-3	1.4E-1	7.1E-3	4.3E-3
20	2.1E-1	4.8E-4	4.4E-4	7.5E-3	1.4E-1	7.1E-3	4.3E-3
21	2.0E-1	4.8E-4	4.1E-4	7.5E-3	1.4E-1	7.1E-3	4.3E-3
22	2.0E-1	4.8E-4	3.8E-4	7.5E-3	1.4E-1	7.1E-3	4.3E-3
23	2.0E-1	4.8E-4	3.6E-4	7.4E-3	1.4E-1	7.1E-3	4.3E-3
24	2.0E-1	4.8E-4	3.5E-4	7.4E-3	1.4E-1	7.1E-3	4.4E-3
25	2.0E-1	4.8E-4	3.3E-4	7.4E-3	1.4E-1	7.1E-3	4.4E-3
26	2.0E-1	4.8E-4	3.2E-4	7.4E-3	1.4E-1	7.1E-3	4.4E-3
27	2.0E-1	4.8E-4	3.1E-4	7.4E-3	1.3E-1	7.2E-3	4.4E-3
28	2.0E-1	4.8E-4	3.0E-4	7.4E-3	1.3E-1	7.2E-3	4.4E-3
29	2.0E-1	4.8E-4	3.0E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
30	2.0E-1	4.9E-4	2.9E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
31	2.0E-1	4.9E-4	2.9E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
32	2.0E-1	4.9E-4	2.8E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
33	1.9E-1	4.9E-4	2.8E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
34	1.9E-1	4.9E-4	2.8E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
35	1.9E-1	4.9E-4	2.7E-4	7.5E-3	1.3E-1	7.2E-3	4.4E-3
36	1.9E-1	4.9E-4	2.7E-4	7.5E-3	1.3E-1	7.2E-3	4.5E-3
37	1.9E-1	4.9E-4	2.7E-4	7.5E-3	1.3E-1	7.2E-3	4.5E-3
38	1.9E-1	4.9E-4	2.6E-4	7.5E-3	1.3E-1	7.3E-3	4.5E-3
39	1.9E-1	4.9E-4	2.6E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
40	1.9E-1	4.9E-4	2.6E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
41	1.9E-1	4.9E-4	2.6E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
42	1.9E-1	4.9E-4	2.6E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
43	1.9E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
44	1.9E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
45	1.9E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
46	1.8E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
47	1.8E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
48	1.8E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
49	1.8E-1	4.9E-4	2.5E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
50	1.8E-1	4.9E-4	2.4E-4	7.5E-3	1.2E-1	7.3E-3	4.5E-3
51	1.8E-1	4.9E-4	2.4E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
52	1.8E-1	4.9E-4	2.4E-4	7.6E-3	1.1E-1	7.3E-3	4.5E-3
53	1.8E-1	4.9E-4	2.4E-4	7.6E-3	1.1E-1	7.3E-3	4.5E-3
54	1.8E-1	4.9E-4	2.4E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
55	1.8E-1	4.9E-4	2.4E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
56	1.8E-1	4.9E-4	2.4E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
57	1.8E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
58	1.8E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
59	1.8E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
60	1.7E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
61	1.7E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
62	1.7E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
63	1.7E-1	4.9E-4	2.3E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
64	1.7E-1	4.9E-4	2.2E-4	7.5E-3	1.1E-1	7.3E-3	4.5E-3
65	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
66	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
67	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
68	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
69	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
70	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
71	1.7E-1	4.8E-4	2.2E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
72	1.7E-1	4.8E-4	2.1E-4	7.5E-3	1.0E-1	7.3E-3	4.5E-3
73	1.7E-1	4.8E-4	2.1E-4	7.5E-3	9.9E-2	7.3E-3	4.5E-3
74	1.6E-1	4.8E-4	2.1E-4	7.5E-3	9.8E-2	7.3E-3	4.5E-3
75	1.6E-1	4.8E-4	2.1E-4	7.5E-3	9.8E-2	7.3E-3	4.5E-3
76	1.6E-1	4.8E-4	2.1E-4	7.5E-3	9.7E-2	7.3E-3	4.5E-3
77	1.6E-1	4.8E-4	2.1E-4	7.4E-3	9.6E-2	7.3E-3	4.5E-3
78	1.6E-1	4.8E-4	2.1E-4	7.4E-3	9.6E-2	7.2E-3	4.5E-3
79	1.6E-1	4.8E-4	2.1E-4	7.4E-3	9.5E-2	7.2E-3	4.5E-3
80	1.6E-1	4.8E-4	2.0E-4	7.4E-3	9.5E-2	7.2E-3	4.5E-3
81	1.6E-1	4.8E-4	2.0E-4	7.4E-3	9.4E-2	7.2E-3	4.5E-3
82	1.6E-1	4.8E-4	2.0E-4	7.4E-3	9.3E-2	7.2E-3	4.4E-3
83	1.6E-1	4.7E-4	2.0E-4	7.4E-3	9.3E-2	7.2E-3	4.4E-3
84	1.6E-1	4.7E-4	2.0E-4	7.4E-3	9.2E-2	7.2E-3	4.4E-3
85	1.6E-1	4.7E-4	2.0E-4	7.4E-3	9.1E-2	7.2E-3	4.4E-3
86	1.6E-1	4.7E-4	2.0E-4	7.4E-3	9.1E-2	7.2E-3	4.4E-3
87	1.6E-1	4.7E-4	2.0E-4	7.4E-3	9.0E-2	7.2E-3	4.4E-3
88	1.5E-1	4.7E-4	2.0E-4	7.3E-3	9.0E-2	7.2E-3	4.4E-3
89	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.9E-2	7.2E-3	4.4E-3
90	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.8E-2	7.1E-3	4.4E-3
91	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.8E-2	7.1E-3	4.4E-3
92	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.7E-2	7.1E-3	4.4E-3
93	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.7E-2	7.1E-3	4.4E-3
94	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.6E-2	7.1E-3	4.4E-3
95	1.5E-1	4.7E-4	1.9E-4	7.3E-3	8.6E-2	7.1E-3	4.4E-3
96	1.5E-1	4.6E-4	1.9E-4	7.3E-3	8.5E-2	7.1E-3	4.4E-3
97	1.5E-1	4.6E-4	1.9E-4	7.2E-3	8.4E-2	7.1E-3	4.4E-3
98	1.5E-1	4.6E-4	1.8E-4	7.2E-3	8.4E-2	7.1E-3	4.4E-3
99	1.5E-1	4.6E-4	1.8E-4	7.2E-3	8.3E-2	7.0E-3	4.3E-3
100	1.5E-1	4.6E-4	1.8E-4	7.2E-3	8.3E-2	7.0E-3	4.3E-3
110	1.4E-1	4.5E-4	1.7E-4	7.1E-3	7.8E-2	6.9E-3	4.3E-3
120	1.3E-1	4.4E-4	1.6E-4	6.9E-3	7.3E-2	6.8E-3	4.2E-3
130	1.3E-1	4.3E-4	1.5E-4	6.7E-3	6.8E-2	6.6E-3	4.1E-3
140	1.2E-1	4.2E-4	1.4E-4	6.6E-3	6.4E-2	6.4E-3	4.0E-3
150	1.2E-1	4.1E-4	1.4E-4	6.4E-3	6.0E-2	6.3E-3	3.9E-3
160	1.1E-1	3.9E-4	1.3E-4	6.2E-3	5.6E-2	6.1E-3	3.8E-3
170	1.1E-1	3.8E-4	1.2E-4	6.0E-3	5.2E-2	5.9E-3	3.6E-3
180	1.0E-1	3.7E-4	1.1E-4	5.8E-3	4.9E-2	5.7E-3	3.5E-3
190	9.6E-2	3.6E-4	1.1E-4	5.6E-3	4.6E-2	5.5E-3	3.4E-3
200	9.2E-2	3.4E-4	1.0E-4	5.4E-3	4.3E-2	5.3E-3	3.3E-3
210	8.7E-2	3.3E-4	9.6E-5	5.2E-3	4.0E-2	5.1E-3	3.2E-3
220	8.3E-2	3.2E-4	9.0E-5	5.0E-3	3.8E-2	5.0E-3	3.1E-3
230	7.9E-2	3.1E-4	8.5E-5	4.8E-3	3.6E-2	4.8E-3	2.9E-3
240	7.5E-2	2.9E-4	8.0E-5	4.6E-3	3.3E-2	4.6E-3	2.8E-3
250	7.2E-2	2.8E-4	7.5E-5	4.5E-3	3.1E-2	4.4E-3	2.7E-3
260	6.8E-2	2.7E-4	7.1E-5	4.3E-3	2.9E-2	4.2E-3	2.6E-3
270	6.5E-2	2.6E-4	6.7E-5	4.1E-3	2.8E-2	4.0E-3	2.5E-3
280	6.1E-2	2.5E-4	6.3E-5	3.9E-3	2.6E-2	3.9E-3	2.4E-3
290	5.8E-2	2.4E-4	5.9E-5	3.8E-3	2.4E-2	3.7E-3	2.3E-3
300	5.5E-2	2.3E-4	5.6E-5	3.6E-3	2.3E-2	3.6E-3	2.2E-3
310	5.3E-2	2.2E-4	5.3E-5	3.4E-3	2.2E-2	3.4E-3	2.1E-3
320	5.0E-2	2.1E-4	5.0E-5	3.3E-3	2.0E-2	3.3E-3	2.0E-3
330	4.7E-2	2.0E-4	4.7E-5	3.1E-3	1.9E-2	3.1E-3	1.9E-3
340	4.5E-2	1.9E-4	4.4E-5	3.0E-3	1.8E-2	3.0E-3	1.8E-3
350	4.3E-2	1.8E-4	4.2E-5	2.9E-3	1.7E-2	2.8E-3	1.7E-3
360	4.1E-2	1.7E-4	3.9E-5	2.7E-3	1.6E-2	2.7E-3	1.7E-3
365	4.0E-2	1.7E-4	3.8E-5	2.7E-3	1.5E-2	2.6E-3	1.6E-3
370	3.8E-2	1.6E-4	3.7E-5	2.6E-3	1.5E-2	2.6E-3	1.6E-3
380	3.7E-2	1.6E-4	3.5E-5	2.5E-3	1.4E-2	2.5E-3	1.5E-3
390	3.5E-2	1.5E-4	3.3E-5	2.4E-3	1.3E-2	2.3E-3	1.4E-3
400	3.3E-2	1.4E-4	3.1E-5	2.3E-3	1.2E-2	2.2E-3	1.4E-3
410	3.1E-2	1.3E-4	2.9E-5	2.1E-3	1.2E-2	2.1E-3	1.3E-3
420	3.0E-2	1.3E-4	2.7E-5	2.0E-3	1.1E-2	2.0E-3	1.2E-3
430	2.8E-2	1.2E-4	2.6E-5	1.9E-3	1.0E-2	1.9E-3	1.2E-3
440	2.7E-2	1.2E-4	2.4E-5	1.8E-3	9.7E-3	1.8E-3	1.1E-3
450	2.5E-2	1.1E-4	2.3E-5	1.8E-3	9.2E-3	1.7E-3	1.1E-3
460	2.4E-2	1.0E-4	2.2E-5	1.7E-3	8.6E-3	1.7E-3	1.0E-3
470	2.3E-2	1.0E-4	2.0E-5	1.6E-3	8.1E-3	1.6E-3	9.7E-4
480	2.1E-2	9.5E-5	1.9E-5	1.5E-3	7.7E-3	1.5E-3	9.2E-4
490	2.0E-2	9.0E-5	1.8E-5	1.4E-3	7.2E-3	1.4E-3	8.8E-4
500	1.9E-2	8.5E-5	1.7E-5	1.4E-3	6.8E-3	1.3E-3	8.3E-4
510	1.8E-2	8.1E-5	1.6E-5	1.3E-3	6.4E-3	1.3E-3	7.9E-4
520	1.7E-2	7.7E-5	1.5E-5	1.2E-3	6.1E-3	1.2E-3	7.5E-4
530	1.6E-2	7.3E-5	1.4E-5	1.2E-3	5.7E-3	1.2E-3	7.1E-4
540	1.5E-2	6.9E-5	1.3E-5	1.1E-3	5.4E-3	1.1E-3	6.8E-4
550	1.5E-2	6.6E-5	1.3E-5	1.1E-3	5.1E-3	1.0E-3	6.4E-4
560	1.4E-2	6.2E-5	1.2E-5	1.0E-3	4.8E-3	9.9E-4	6.1E-4
570	1.3E-2	5.9E-5	1.1E-5	9.5E-4	4.5E-3	9.4E-4	5.8E-4
580	1.2E-2	5.6E-5	1.1E-5	9.0E-4	4.3E-3	8.9E-4	5.5E-4
590	1.2E-2	5.3E-5	1.0E-5	8.5E-4	4.0E-3	8.4E-4	5.2E-4
600	1.1E-2	5.1E-5	9.4E-6	8.1E-4	3.8E-3	8.0E-4	5.0E-4
610	1.1E-2	4.8E-5	8.9E-6	7.7E-4	3.6E-3	7.6E-4	4.7E-4
620	1.0E-2	4.5E-5	8.4E-6	7.3E-4	3.4E-3	7.2E-4	4.5E-4
630	9.5E-3	4.3E-5	7.9E-6	6.9E-4	3.2E-3	6.8E-4	4.2E-4
640	9.0E-3	4.1E-5	7.4E-6	6.5E-4	3.0E-3	6.5E-4	4.0E-4
650	8.5E-3	3.9E-5	7.0E-6	6.2E-4	2.9E-3	6.1E-4	3.8E-4
660	8.1E-3	3.7E-5	6.6E-6	5.9E-4	2.7E-3	5.8E-4	3.6E-4
670	7.7E-3	3.5E-5	6.2E-6	5.6E-4	2.6E-3	5.5E-4	3.4E-4
680	7.3E-3	3.3E-5	5.9E-6	5.3E-4	2.4E-3	5.2E-4	3.2E-4
690	6.9E-3	3.1E-5	5.5E-6	5.0E-4	2.3E-3	5.0E-4	3.1E-4
700	6.5E-3	3.0E-5	5.2E-6	4.7E-4	2.2E-3	4.7E-4	2.9E-4
710	6.2E-3	2.8E-5	4.9E-6	4.5E-4	2.0E-3	4.5E-4	2.8E-4
720	5.8E-3	2.7E-5	4.6E-6	4.3E-4	1.9E-3	4.2E-4	2.6E-4
730	5.5E-3	2.5E-5	4.4E-6	4.0E-4	1.8E-3	4.0E-4	2.5E-4
740	5.2E-3	2.4E-5	4.1E-6	3.8E-4	1.7E-3	3.8E-4	2.4E-4
750	5.0E-3	2.3E-5	3.9E-6	3.6E-4	1.6E-3	3.6E-4	2.2E-4
760	4.7E-3	2.1E-5	3.7E-6	3.4E-4	1.5E-3	3.4E-4	2.1E-4
770	4.5E-3	2.0E-5	3.5E-6	3.3E-4	1.5E-3	3.2E-4	2.0E-4
780	4.2E-3	1.9E-5	3.3E-6	3.1E-4	1.4E-3	3.1E-4	1.9E-4
790	4.0E-3	1.8E-5	3.1E-6	2.9E-4	1.3E-3	2.9E-4	1.8E-4
800	3.8E-3	1.7E-5	2.9E-6	2.8E-4	1.2E-3	2.8E-4	1.7E-4
810	3.6E-3	1.6E-5	2.8E-6	2.6E-4	1.2E-3	2.6E-4	1.6E-4
820	3.4E-3	1.5E-5	2.6E-6	2.5E-4	1.1E-3	2.5E-4	1.5E-4
830	3.2E-3	1.5E-5	2.5E-6	2.4E-4	1.0E-3	2.3E-4	1.5E-4
840	3.1E-3	1.4E-5	2.3E-6	2.2E-4	9.9E-4	2.2E-4	1.4E-4
850	2.9E-3	1.3E-5	2.2E-6	2.1E-4	9.4E-4	2.1E-4	1.3E-4
860	2.8E-3	1.2E-5	2.1E-6	2.0E-4	8.9E-4	2.0E-4	1.2E-4
870	2.6E-3	1.2E-5	1.9E-6	1.9E-4	8.4E-4	1.9E-4	1.2E-4
880	2.5E-3	1.1E-5	1.8E-6	1.8E-4	8.0E-4	1.8E-4	1.1E-4
890	2.4E-3	1.1E-5	1.7E-6	1.7E-4	7.6E-4	1.7E-4	1.1E-4
900	2.2E-3	1.0E-5	1.6E-6	1.6E-4	7.2E-4	1.6E-4	1.0E-4
910	2.1E-3	9.5E-6	1.6E-6	1.5E-4	6.8E-4	1.5E-4	9.5E-5
920	2.0E-3	9.0E-6	1.5E-6	1.5E-4	6.4E-4	1.4E-4	9.0E-5
