Radionuclide	Cs-137
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	9.4E-1	-	-	2.1E-1	4.8E-2	7.3E-2	9.6E-2
0.083333	9.4E-1	-	-	1.9E-1	5.1E-2	8.0E-2	1.1E-1
0.125	9.3E-1	-	-	1.8E-1	5.2E-2	8.5E-2	1.1E-1
0.25	9.2E-1	-	-	1.4E-1	5.5E-2	9.5E-2	1.2E-1
0.375	9.1E-1	-	-	1.2E-1	5.6E-2	1.0E-1	1.2E-1
0.5	9.1E-1	-	-	1.1E-1	5.7E-2	1.0E-1	1.1E-1
0.625	9.0E-1	-	-	1.0E-1	5.6E-2	1.1E-1	1.0E-1
0.75	9.0E-1	-	-	1.0E-1	5.6E-2	1.1E-1	9.9E-2
0.875	9.0E-1	-	-	9.7E-2	5.5E-2	1.1E-1	9.4E-2
1	8.9E-1	4.7E-2	2.2E-3	9.6E-2	5.5E-2	1.1E-1	8.9E-2
1.125	8.9E-1	-	-	9.4E-2	5.4E-2	1.1E-1	8.5E-2
1.25	8.9E-1	-	-	9.3E-2	5.4E-2	1.1E-1	8.1E-2
1.375	8.9E-1	-	-	9.2E-2	5.3E-2	1.1E-1	7.8E-2
1.5	8.8E-1	-	-	9.2E-2	5.3E-2	1.1E-1	7.5E-2
1.625	8.8E-1	-	-	9.1E-2	5.2E-2	1.1E-1	7.3E-2
1.75	8.8E-1	-	-	9.0E-2	5.2E-2	1.1E-1	7.1E-2
1.875	8.8E-1	-	-	9.0E-2	5.2E-2	1.1E-1	6.9E-2
2	8.8E-1	1.5E-2	3.5E-3	9.0E-2	5.1E-2	1.1E-1	6.8E-2
2.25	8.7E-1	-	-	8.9E-2	5.1E-2	1.1E-1	6.5E-2
2.5	8.7E-1	-	-	8.8E-2	5.0E-2	1.1E-1	6.3E-2
2.75	8.7E-1	-	-	8.7E-2	5.0E-2	1.1E-1	6.2E-2
3	8.6E-1	1.1E-2	2.6E-3	8.7E-2	5.0E-2	1.1E-1	6.0E-2
3.25	8.6E-1	-	-	8.7E-2	4.9E-2	1.1E-1	5.9E-2
3.5	8.6E-1	-	-	8.6E-2	4.9E-2	1.1E-1	5.8E-2
3.75	8.5E-1	-	-	8.6E-2	4.9E-2	1.1E-1	5.8E-2
4	8.5E-1	8.6E-3	1.8E-3	8.6E-2	4.9E-2	1.1E-1	5.7E-2
4.25	8.5E-1	-	-	8.5E-2	4.9E-2	1.1E-1	5.6E-2
4.5	8.5E-1	-	-	8.5E-2	4.8E-2	1.0E-1	5.6E-2
4.75	8.4E-1	-	-	8.5E-2	4.8E-2	1.0E-1	5.5E-2
5	8.4E-1	7.5E-3	1.4E-3	8.5E-2	4.8E-2	1.0E-1	5.5E-2
5.5	8.4E-1	-	-	8.5E-2	4.8E-2	1.0E-1	5.4E-2
6	8.3E-1	6.7E-3	1.2E-3	8.4E-2	4.8E-2	9.9E-2	5.4E-2
6.5	8.3E-1	-	-	8.4E-2	4.8E-2	9.7E-2	5.3E-2
7	8.3E-1	6.3E-3	1.0E-3	8.4E-2	4.8E-2	9.6E-2	5.3E-2
7.5	8.2E-1	-	-	8.4E-2	4.7E-2	9.4E-2	5.3E-2
8	8.2E-1	5.9E-3	9.3E-4	8.3E-2	4.7E-2	9.3E-2	5.2E-2
8.5	8.2E-1	-	-	8.3E-2	4.7E-2	9.2E-2	5.2E-2
9	8.1E-1	5.7E-3	8.7E-4	8.3E-2	4.7E-2	9.1E-2	5.2E-2
9.5	8.1E-1	-	-	8.3E-2	4.7E-2	9.0E-2	5.1E-2
10	8.1E-1	5.5E-3	8.4E-4	8.2E-2	4.7E-2	8.9E-2	5.1E-2
11	8.0E-1	5.4E-3	8.1E-4	8.2E-2	4.6E-2	8.7E-2	5.1E-2
12	7.9E-1	5.3E-3	7.9E-4	8.1E-2	4.6E-2	8.6E-2	5.0E-2
13	7.9E-1	5.2E-3	7.7E-4	8.1E-2	4.6E-2	8.4E-2	5.0E-2
14	7.8E-1	5.1E-3	7.6E-4	8.0E-2	4.6E-2	8.3E-2	5.0E-2
15	7.8E-1	5.1E-3	7.4E-4	8.0E-2	4.5E-2	8.2E-2	4.9E-2
16	7.7E-1	5.0E-3	7.3E-4	7.9E-2	4.5E-2	8.1E-2	4.9E-2
17	7.7E-1	5.0E-3	7.3E-4	7.9E-2	4.5E-2	8.0E-2	4.8E-2
18	7.6E-1	4.9E-3	7.2E-4	7.8E-2	4.4E-2	7.9E-2	4.8E-2
19	7.5E-1	4.9E-3	7.1E-4	7.8E-2	4.4E-2	7.8E-2	4.8E-2
20	7.5E-1	4.8E-3	7.0E-4	7.7E-2	4.4E-2	7.8E-2	4.7E-2
21	7.4E-1	4.8E-3	7.0E-4	7.6E-2	4.3E-2	7.7E-2	4.7E-2
22	7.4E-1	4.7E-3	6.9E-4	7.6E-2	4.3E-2	7.6E-2	4.7E-2
23	7.3E-1	4.7E-3	6.8E-4	7.5E-2	4.3E-2	7.6E-2	4.6E-2
24	7.3E-1	4.6E-3	6.8E-4	7.5E-2	4.2E-2	7.5E-2	4.6E-2
25	7.2E-1	4.6E-3	6.7E-4	7.4E-2	4.2E-2	7.4E-2	4.6E-2
26	7.2E-1	4.6E-3	6.7E-4	7.4E-2	4.2E-2	7.4E-2	4.5E-2
27	7.1E-1	4.5E-3	6.6E-4	7.3E-2	4.2E-2	7.3E-2	4.5E-2
28	7.1E-1	4.5E-3	6.6E-4	7.3E-2	4.1E-2	7.2E-2	4.5E-2
29	7.0E-1	4.5E-3	6.5E-4	7.2E-2	4.1E-2	7.2E-2	4.4E-2
30	6.9E-1	4.4E-3	6.5E-4	7.2E-2	4.1E-2	7.1E-2	4.4E-2
31	6.9E-1	4.4E-3	6.4E-4	7.1E-2	4.0E-2	7.1E-2	4.4E-2
32	6.8E-1	4.4E-3	6.4E-4	7.1E-2	4.0E-2	7.0E-2	4.3E-2
33	6.8E-1	4.3E-3	6.3E-4	7.0E-2	4.0E-2	7.0E-2	4.3E-2
34	6.7E-1	4.3E-3	6.3E-4	7.0E-2	3.9E-2	6.9E-2	4.3E-2
35	6.7E-1	4.3E-3	6.2E-4	6.9E-2	3.9E-2	6.9E-2	4.2E-2
36	6.7E-1	4.2E-3	6.2E-4	6.9E-2	3.9E-2	6.8E-2	4.2E-2
37	6.6E-1	4.2E-3	6.1E-4	6.8E-2	3.9E-2	6.8E-2	4.2E-2
38	6.6E-1	4.2E-3	6.1E-4	6.8E-2	3.8E-2	6.7E-2	4.2E-2
39	6.5E-1	4.1E-3	6.0E-4	6.7E-2	3.8E-2	6.7E-2	4.1E-2
40	6.5E-1	4.1E-3	6.0E-4	6.7E-2	3.8E-2	6.6E-2	4.1E-2
41	6.4E-1	4.1E-3	5.9E-4	6.6E-2	3.8E-2	6.6E-2	4.1E-2
42	6.4E-1	4.1E-3	5.9E-4	6.6E-2	3.7E-2	6.5E-2	4.0E-2
43	6.3E-1	4.0E-3	5.9E-4	6.5E-2	3.7E-2	6.5E-2	4.0E-2
44	6.3E-1	4.0E-3	5.8E-4	6.5E-2	3.7E-2	6.4E-2	4.0E-2
45	6.2E-1	4.0E-3	5.8E-4	6.4E-2	3.6E-2	6.4E-2	3.9E-2
46	6.2E-1	3.9E-3	5.7E-4	6.4E-2	3.6E-2	6.3E-2	3.9E-2
47	6.1E-1	3.9E-3	5.7E-4	6.3E-2	3.6E-2	6.3E-2	3.9E-2
48	6.1E-1	3.9E-3	5.6E-4	6.3E-2	3.6E-2	6.2E-2	3.9E-2
49	6.0E-1	3.8E-3	5.6E-4	6.2E-2	3.5E-2	6.2E-2	3.8E-2
50	6.0E-1	3.8E-3	5.6E-4	6.2E-2	3.5E-2	6.1E-2	3.8E-2
51	6.0E-1	3.8E-3	5.5E-4	6.1E-2	3.5E-2	6.1E-2	3.8E-2
52	5.9E-1	3.8E-3	5.5E-4	6.1E-2	3.5E-2	6.1E-2	3.7E-2
53	5.9E-1	3.7E-3	5.4E-4	6.1E-2	3.4E-2	6.0E-2	3.7E-2
54	5.8E-1	3.7E-3	5.4E-4	6.0E-2	3.4E-2	6.0E-2	3.7E-2
55	5.8E-1	3.7E-3	5.4E-4	6.0E-2	3.4E-2	5.9E-2	3.7E-2
56	5.7E-1	3.7E-3	5.3E-4	5.9E-2	3.4E-2	5.9E-2	3.6E-2
57	5.7E-1	3.6E-3	5.3E-4	5.9E-2	3.3E-2	5.8E-2	3.6E-2
58	5.7E-1	3.6E-3	5.2E-4	5.8E-2	3.3E-2	5.8E-2	3.6E-2
59	5.6E-1	3.6E-3	5.2E-4	5.8E-2	3.3E-2	5.8E-2	3.6E-2
