Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	3.1E-1	-	-	2.5E-2	2.4E-1	2.4E-5	2.8E-5
0.083333	3.1E-1	-	-	2.9E-2	2.4E-1	4.7E-5	6.0E-5
0.125	3.1E-1	-	-	3.2E-2	2.4E-1	7.1E-5	9.2E-5
0.25	3.0E-1	-	-	4.0E-2	2.4E-1	1.4E-4	1.8E-4
0.375	3.0E-1	-	-	4.5E-2	2.4E-1	1.9E-4	2.4E-4
0.5	3.0E-1	-	-	4.8E-2	2.4E-1	2.3E-4	2.8E-4
0.625	3.0E-1	-	-	5.1E-2	2.3E-1	2.6E-4	3.0E-4
0.75	3.0E-1	-	-	5.2E-2	2.3E-1	2.9E-4	3.1E-4
0.875	2.9E-1	-	-	5.2E-2	2.3E-1	3.1E-4	3.1E-4
1	2.9E-1	1.2E-4	8.2E-3	5.1E-2	2.3E-1	3.3E-4	3.1E-4
1.125	2.9E-1	-	-	5.0E-2	2.3E-1	3.4E-4	3.0E-4
1.25	2.8E-1	-	-	4.8E-2	2.3E-1	3.5E-4	2.9E-4
1.375	2.8E-1	-	-	4.6E-2	2.3E-1	3.6E-4	2.8E-4
1.5	2.8E-1	-	-	4.4E-2	2.3E-1	3.6E-4	2.8E-4
1.625	2.7E-1	-	-	4.1E-2	2.3E-1	3.7E-4	2.7E-4
1.75	2.7E-1	-	-	3.9E-2	2.3E-1	3.7E-4	2.6E-4
1.875	2.6E-1	-	-	3.6E-2	2.2E-1	3.7E-4	2.5E-4
2	2.6E-1	6.7E-5	2.8E-2	3.4E-2	2.2E-1	3.8E-4	2.5E-4
2.25	2.5E-1	-	-	2.9E-2	2.2E-1	3.8E-4	2.4E-4
2.5	2.5E-1	-	-	2.5E-2	2.2E-1	3.8E-4	2.3E-4
2.75	2.4E-1	-	-	2.1E-2	2.2E-1	3.8E-4	2.2E-4
3	2.4E-1	4.4E-5	2.1E-2	1.8E-2	2.2E-1	3.8E-4	2.2E-4
3.25	2.4E-1	-	-	1.6E-2	2.2E-1	3.8E-4	2.2E-4
3.5	2.3E-1	-	-	1.4E-2	2.2E-1	3.8E-4	2.1E-4
3.75	2.3E-1	-	-	1.2E-2	2.1E-1	3.8E-4	2.1E-4
4	2.3E-1	3.6E-5	1.2E-2	1.1E-2	2.1E-1	3.8E-4	2.1E-4
4.25	2.3E-1	-	-	1.0E-2	2.1E-1	3.8E-4	2.1E-4
4.5	2.2E-1	-	-	9.4E-3	2.1E-1	3.7E-4	2.1E-4
4.75	2.2E-1	-	-	8.8E-3	2.1E-1	3.7E-4	2.0E-4
5	2.2E-1	3.1E-5	6.8E-3	8.2E-3	2.1E-1	3.7E-4	2.0E-4
5.5	2.2E-1	-	-	7.3E-3	2.1E-1	3.7E-4	2.0E-4
6	2.2E-1	2.8E-5	4.8E-3	6.6E-3	2.1E-1	3.7E-4	2.0E-4
6.5	2.1E-1	-	-	6.0E-3	2.0E-1	3.6E-4	2.0E-4
7	2.1E-1	2.7E-5	3.8E-3	5.5E-3	2.0E-1	3.6E-4	2.0E-4
7.5	2.1E-1	-	-	5.1E-3	2.0E-1	3.6E-4	2.0E-4
8	2.1E-1	2.5E-5	3.1E-3	4.7E-3	2.0E-1	3.5E-4	2.0E-4
8.5	2.1E-1	-	-	4.3E-3	2.0E-1	3.5E-4	2.0E-4
9	2.1E-1	2.5E-5	2.6E-3	4.0E-3	2.0E-1	3.5E-4	2.0E-4
9.5	2.0E-1	-	-	3.7E-3	2.0E-1	3.5E-4	2.0E-4
10	2.0E-1	2.4E-5	2.2E-3	3.4E-3	2.0E-1	3.5E-4	2.0E-4
11	2.0E-1	2.3E-5	1.9E-3	3.0E-3	2.0E-1	3.4E-4	2.0E-4
