Radionuclide	Cs-137
Route of Intake	Inhalation
Material	Aerosols Type F, Caesium chloride, nitrate, sulphate, fA=0.99
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ba-137m)	Urine (24-hour sample) (Ba-137m)	Faeces (24-hour sample) (Ba-137m)	Alimentary Tract* (Ba-137m)	Lungs* (Ba-137m)	Skeleton* (Ba-137m)	Liver* (Ba-137m)
0.041667	3.1E-1	-	-	6.4E-2	1.7E-2	2.0E-2	2.5E-2
0.083333	3.0E-1	-	-	6.0E-2	1.4E-2	2.2E-2	3.0E-2
0.125	3.0E-1	-	-	5.5E-2	1.5E-2	2.4E-2	3.2E-2
0.25	3.0E-1	-	-	4.4E-2	1.6E-2	2.8E-2	3.5E-2
0.375	2.9E-1	-	-	3.8E-2	1.7E-2	3.0E-2	3.5E-2
0.5	2.9E-1	-	-	3.5E-2	1.7E-2	3.1E-2	3.4E-2
0.625	2.9E-1	-	-	3.3E-2	1.7E-2	3.3E-2	3.2E-2
0.75	2.9E-1	-	-	3.2E-2	1.7E-2	3.3E-2	3.1E-2
0.875	2.8E-1	-	-	3.1E-2	1.7E-2	3.4E-2	2.9E-2
1	2.8E-1	1.4E-2	6.8E-4	3.0E-2	1.7E-2	3.5E-2	2.8E-2
1.125	2.8E-1	-	-	3.0E-2	1.7E-2	3.5E-2	2.7E-2
1.25	2.8E-1	-	-	3.0E-2	1.7E-2	3.5E-2	2.6E-2
1.375	2.8E-1	-	-	2.9E-2	1.7E-2	3.6E-2	2.5E-2
1.5	2.8E-1	-	-	2.9E-2	1.7E-2	3.6E-2	2.4E-2
1.625	2.8E-1	-	-	2.9E-2	1.6E-2	3.6E-2	2.3E-2
1.75	2.8E-1	-	-	2.9E-2	1.6E-2	3.6E-2	2.3E-2
1.875	2.8E-1	-	-	2.8E-2	1.6E-2	3.6E-2	2.2E-2
2	2.8E-1	4.9E-3	1.2E-3	2.8E-2	1.6E-2	3.6E-2	2.1E-2
2.25	2.7E-1	-	-	2.8E-2	1.6E-2	3.6E-2	2.1E-2
