Radionuclide	Hf-183
Route of Intake	Inhalation
Material	Aerosols Type M, fA=4E-4
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	1.7E-1	7.9E-2	2.5E-4	2.9E-4
0.083333	2.6E-1	-	1.0E-1	3.5E-2	2.3E-4	2.3E-4
0.125	1.4E-1	-	5.9E-2	1.7E-2	1.7E-4	1.5E-4
0.25	1.9E-2	-	1.0E-2	1.9E-3	4.5E-5	2.7E-5
0.375	2.6E-3	-	1.6E-3	2.5E-4	8.7E-6	4.2E-6
0.5	3.6E-4	-	2.4E-4	3.3E-5	1.5E-6	6.3E-7
0.625	5.0E-5	-	3.6E-5	4.5E-6	2.4E-7	9.2E-8
0.75	6.9E-6	-	5.1E-6	6.2E-7	3.8E-8	1.3E-8
0.875	9.4E-7	-	7.2E-7	8.6E-8	5.8E-9	1.9E-9
1	1.3E-7	1.7E-8	1.0E-7	1.2E-8	8.8E-10	2.7E-10
1.125	1.7E-8	-	1.4E-8	1.6E-9	1.3E-10	-
1.25	2.3E-9	-	1.9E-9	2.3E-10	-	-
1.375	3.1E-10	-	2.5E-10	-	-	-
