Radionuclide	Ta-185
Route of Intake	Ingestion
Material	All forms, fA=1E-3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	4.3E-1	-	4.3E-1	2.2E-6	3.1E-6
0.083333	1.9E-1	-	1.9E-1	2.7E-6	3.8E-6
0.125	8.0E-2	-	8.0E-2	1.9E-6	2.6E-6
0.25	6.4E-3	-	6.4E-3	2.8E-7	3.7E-7
0.375	5.1E-4	-	5.1E-4	2.8E-8	3.5E-8
0.5	4.0E-5	-	4.0E-5	2.5E-9	3.0E-9
0.625	3.1E-6	-	3.1E-6	2.1E-10	2.5E-10
0.75	2.4E-7	-	2.4E-7	-	-
0.875	1.8E-8	-	1.8E-8	-	-
1	1.3E-9	3.6E-10	1.3E-9	-	-
