Radionuclide	Ta-185
Route of Intake	Inhalation
Material	Aerosols Type M, fA=2E-4
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	1.3E-1	1.9E-2	7.8E-2	1.4E-4	1.9E-4
0.083333	5.4E-2	9.2E-3	3.2E-2	1.1E-4	1.4E-4
0.125	2.3E-2	4.4E-3	1.4E-2	6.3E-5	8.5E-5
0.25	1.8E-3	4.2E-4	1.0E-3	8.2E-6	1.1E-5
0.375	1.4E-4	3.8E-5	8.0E-5	8.3E-7	1.0E-6
0.5	1.1E-5	3.3E-6	6.2E-6	7.8E-8	9.5E-8
0.625	9.0E-7	2.7E-7	4.9E-7	6.9E-9	8.3E-9
0.75	7.1E-8	2.2E-8	3.8E-8	6.0E-10	7.1E-10
0.875	5.6E-9	1.8E-9	3.0E-9	-	-
1	4.4E-10	1.4E-10	2.4E-10	-	-
