Radionuclide	Ta-185
Route of Intake	Inhalation
Material	Aerosols Type F, fA=1E-3
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.2E-1	-	1.1E-1	2.8E-2	5.7E-3	7.9E-3
0.083333	1.8E-1	-	5.3E-2	6.3E-3	2.9E-3	3.9E-3
0.125	7.5E-2	-	2.5E-2	2.0E-3	1.3E-3	1.7E-3
0.25	5.8E-3	-	2.3E-3	1.2E-4	1.1E-4	1.4E-4
0.375	4.5E-4	-	2.0E-4	9.1E-6	9.3E-6	1.1E-5
0.5	3.5E-5	-	1.7E-5	7.1E-7	7.9E-7	9.4E-7
0.625	2.7E-6	-	1.4E-6	5.6E-8	6.7E-8	7.8E-8
0.75	2.1E-7	-	1.2E-7	4.4E-9	5.6E-9	6.4E-9
0.875	1.6E-8	-	9.2E-9	3.5E-10	4.7E-10	5.3E-10
1	1.2E-9	1.2E-10	7.2E-10	-	-	-
