Radionuclide	Ta-185
Route of Intake	Inhalation
Material	Aerosols Type F, fA=1E-3
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	2.6E-1	-	2.3E-2	8.3E-2	1.1E-2	1.6E-2
0.083333	1.1E-1	-	1.1E-2	1.7E-2	6.0E-3	8.2E-3
0.125	4.8E-2	-	5.1E-3	4.7E-3	2.7E-3	3.6E-3
0.25	3.6E-3	-	4.3E-4	2.4E-4	2.2E-4	2.7E-4
0.375	2.8E-4	-	3.6E-5	1.7E-5	1.8E-5	2.2E-5
0.5	2.2E-5	-	3.0E-6	1.3E-6	1.5E-6	1.7E-6
0.625	1.7E-6	-	2.4E-7	9.9E-8	1.2E-7	1.4E-7
0.75	1.4E-7	-	1.9E-8	7.7E-9	1.0E-8	1.2E-8
0.875	1.1E-8	-	1.5E-9	6.0E-10	8.4E-10	9.4E-10
1	8.4E-10	1.6E-10	1.2E-10	-	-	-
