Radionuclide	Cl-39
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	3.8E-1	-	1.3E-1	3.5E-2
0.083333	1.8E-1	-	6.8E-2	1.5E-2
0.125	8.4E-2	-	3.4E-2	6.9E-3
0.25	8.6E-3	-	4.0E-3	6.7E-4
0.375	8.8E-4	-	4.6E-4	6.8E-5
0.5	9.1E-5	-	5.1E-5	7.0E-6
0.625	9.4E-6	-	5.5E-6	7.2E-7
0.75	9.6E-7	-	5.9E-7	7.6E-8
0.875	9.8E-8	-	6.1E-8	7.9E-9
1	1.0E-8	1.2E-9	6.3E-9	8.3E-10
1.125	1.0E-9	-	6.4E-10	-
1.25	1.0E-10	-	-	-
