Radionuclide	Ra-228
Route of Intake	Inhalation
Material	Aerosols Type F, Nitrate, fA=0.2
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	1.0E-1	-	-	2.2E-2	3.1E-2	3.1E-3	2.8E-3
0.083333	1.9E-1	-	-	5.2E-2	3.8E-2	1.2E-2	9.2E-3
0.125	2.6E-1	-	-	8.4E-2	3.5E-2	2.3E-2	1.6E-2
0.25	4.4E-1	-	-	1.8E-1	1.7E-2	5.8E-2	3.3E-2
0.375	5.6E-1	-	-	2.7E-1	6.8E-3	8.7E-2	4.1E-2
0.5	6.4E-1	-	-	3.3E-1	2.9E-3	1.1E-1	4.5E-2
0.625	6.9E-1	-	-	3.8E-1	1.5E-3	1.3E-1	4.6E-2
0.75	7.1E-1	-	-	4.1E-1	9.7E-4	1.4E-1	4.7E-2
0.875	7.1E-1	-	-	4.2E-1	7.6E-4	1.5E-1	4.6E-2
1	7.0E-1	7.7E-3	1.0E-1	4.3E-1	6.5E-4	1.5E-1	4.5E-2
1.125	6.9E-1	-	-	4.2E-1	5.8E-4	1.5E-1	4.4E-2
1.25	6.6E-1	-	-	4.0E-1	5.3E-4	1.5E-1	4.3E-2
1.375	6.3E-1	-	-	3.8E-1	4.9E-4	1.5E-1	4.1E-2
1.5	6.0E-1	-	-	3.6E-1	4.5E-4	1.5E-1	4.0E-2
1.625	5.6E-1	-	-	3.3E-1	4.2E-4	1.5E-1	3.8E-2
1.75	5.3E-1	-	-	3.1E-1	4.0E-4	1.5E-1	3.7E-2
1.875	5.0E-1	-	-	2.8E-1	3.8E-4	1.5E-1	3.5E-2
2	4.6E-1	1.7E-3	2.8E-1	2.6E-1	3.6E-4	1.4E-1	3.4E-2
