Radionuclide	Ra-228
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified forms, fA=4E-2
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	1.0E-1	-	-	2.1E-2	4.5E-2	2.1E-4	1.9E-4
0.083333	1.9E-1	-	-	4.9E-2	8.1E-2	8.8E-4	7.3E-4
0.125	2.7E-1	-	-	7.8E-2	1.1E-1	1.9E-3	1.5E-3
0.25	4.5E-1	-	-	1.7E-1	1.7E-1	6.2E-3	4.2E-3
0.375	5.7E-1	-	-	2.4E-1	2.0E-1	1.1E-2	6.6E-3
0.5	6.5E-1	-	-	3.0E-1	2.3E-1	1.6E-2	8.4E-3
0.625	7.0E-1	-	-	3.5E-1	2.4E-1	1.9E-2	9.5E-3
0.75	7.3E-1	-	-	3.8E-1	2.5E-1	2.2E-2	1.0E-2
0.875	7.4E-1	-	-	3.9E-1	2.5E-1	2.5E-2	1.0E-2
1	7.4E-1	1.3E-3	7.3E-2	4.0E-1	2.6E-1	2.7E-2	1.0E-2
1.125	7.3E-1	-	-	3.9E-1	2.6E-1	2.8E-2	9.9E-3
1.25	7.1E-1	-	-	3.8E-1	2.5E-1	2.9E-2	9.6E-3
1.375	6.8E-1	-	-	3.7E-1	2.5E-1	2.9E-2	9.2E-3
1.5	6.6E-1	-	-	3.5E-1	2.5E-1	2.9E-2	8.8E-3
1.625	6.3E-1	-	-	3.3E-1	2.5E-1	2.9E-2	8.4E-3
1.75	6.0E-1	-	-	3.0E-1	2.4E-1	2.9E-2	8.1E-3
1.875	5.7E-1	-	-	2.8E-1	2.4E-1	2.9E-2	7.7E-3
2	5.4E-1	4.4E-4	2.4E-1	2.6E-1	2.4E-1	2.8E-2	7.4E-3
2.25	4.9E-1	-	-	2.2E-1	2.3E-1	2.8E-2	6.8E-3
2.5	4.4E-1	-	-	1.8E-1	2.2E-1	2.7E-2	6.2E-3
2.75	4.0E-1	-	-	1.5E-1	2.2E-1	2.6E-2	5.7E-3
3	3.7E-1	2.6E-4	1.7E-1	1.2E-1	2.1E-1	2.5E-2	5.3E-3
3.25	3.4E-1	-	-	1.1E-1	2.0E-1	2.4E-2	4.9E-3
3.5	3.2E-1	-	-	8.9E-2	2.0E-1	2.3E-2	4.6E-3
3.75	3.0E-1	-	-	7.7E-2	1.9E-1	2.2E-2	4.2E-3
4	2.8E-1	1.9E-4	8.6E-2	6.7E-2	1.9E-1	2.2E-2	3.9E-3
4.25	2.7E-1	-	-	5.9E-2	1.8E-1	2.1E-2	3.7E-3
4.5	2.6E-1	-	-	5.3E-2	1.8E-1	2.0E-2	3.4E-3
4.75	2.5E-1	-	-	4.8E-2	1.7E-1	2.0E-2	3.2E-3
5	2.4E-1	1.4E-4	4.5E-2	4.4E-2	1.7E-1	1.9E-2	3.0E-3
5.5	2.2E-1	-	-	3.8E-2	1.6E-1	1.9E-2	2.6E-3
6	2.1E-1	1.1E-4	2.9E-2	3.3E-2	1.5E-1	1.8E-2	2.3E-3
6.5	2.0E-1	-	-	3.0E-2	1.5E-1	1.7E-2	2.0E-3
7	1.9E-1	8.5E-5	2.1E-2	2.6E-2	1.4E-1	1.7E-2	1.8E-3
7.5	1.8E-1	-	-	2.4E-2	1.4E-1	1.6E-2	1.6E-3
8	1.7E-1	6.7E-5	1.7E-2	2.1E-2	1.3E-1	1.6E-2	1.4E-3
8.5	1.7E-1	-	-	1.9E-2	1.3E-1	1.5E-2	1.2E-3
9	1.6E-1	5.5E-5	1.3E-2	1.7E-2	1.2E-1	1.5E-2	1.1E-3
9.5	1.5E-1	-	-	1.6E-2	1.2E-1	1.5E-2	1.0E-3
10	1.5E-1	4.5E-5	1.1E-2	1.4E-2	1.2E-1	1.4E-2	9.3E-4
11	1.4E-1	3.8E-5	8.9E-3	1.2E-2	1.1E-1	1.4E-2	7.9E-4
12	1.3E-1	3.2E-5	7.3E-3	9.6E-3	1.1E-1	1.4E-2	6.8E-4
13	1.3E-1	2.8E-5	6.0E-3	7.9E-3	1.0E-1	1.3E-2	6.0E-4
14	1.2E-1	2.5E-5	5.0E-3	6.6E-3	9.9E-2	1.3E-2	5.4E-4
15	1.2E-1	2.3E-5	4.2E-3	5.5E-3	9.6E-2	1.3E-2	4.9E-4
16	1.1E-1	2.1E-5	3.5E-3	4.6E-3	9.3E-2	1.3E-2	4.6E-4
17	1.1E-1	2.0E-5	3.0E-3	3.9E-3	9.1E-2	1.3E-2	4.3E-4
18	1.1E-1	1.8E-5	2.5E-3	3.3E-3	9.0E-2	1.2E-2	4.1E-4
19	1.0E-1	1.7E-5	2.2E-3	2.9E-3	8.8E-2	1.2E-2	3.9E-4
20	1.0E-1	1.7E-5	1.9E-3	2.5E-3	8.7E-2	1.2E-2	3.8E-4
21	1.0E-1	1.6E-5	1.7E-3	2.2E-3	8.5E-2	1.2E-2	3.7E-4
22	9.9E-2	1.6E-5	1.5E-3	1.9E-3	8.4E-2	1.2E-2	3.6E-4
23	9.8E-2	1.5E-5	1.3E-3	1.7E-3	8.3E-2	1.2E-2	3.5E-4
24	9.7E-2	1.5E-5	1.2E-3	1.6E-3	8.2E-2	1.2E-2	3.4E-4
25	9.5E-2	1.4E-5	1.1E-3	1.4E-3	8.1E-2	1.2E-2	3.4E-4
26	9.4E-2	1.4E-5	9.9E-4	1.3E-3	8.0E-2	1.2E-2	3.3E-4
27	9.3E-2	1.4E-5	9.2E-4	1.2E-3	8.0E-2	1.1E-2	3.3E-4
28	9.3E-2	1.4E-5	8.6E-4	1.1E-3	7.9E-2	1.1E-2	3.3E-4
29	9.2E-2	1.3E-5	8.1E-4	1.1E-3	7.8E-2	1.1E-2	3.2E-4
30	9.1E-2	1.3E-5	7.7E-4	1.0E-3	7.8E-2	1.1E-2	3.2E-4
31	9.0E-2	1.3E-5	7.4E-4	9.7E-4	7.7E-2	1.1E-2	3.2E-4
32	8.9E-2	1.3E-5	7.1E-4	9.3E-4	7.6E-2	1.1E-2	3.2E-4
33	8.9E-2	1.3E-5	6.9E-4	9.0E-4	7.6E-2	1.1E-2	3.1E-4
34	8.8E-2	1.3E-5	6.7E-4	8.7E-4	7.5E-2	1.1E-2	3.1E-4
35	8.7E-2	1.3E-5	6.5E-4	8.5E-4	7.5E-2	1.1E-2	3.1E-4
36	8.7E-2	1.2E-5	6.3E-4	8.3E-4	7.4E-2	1.1E-2	3.1E-4
37	8.6E-2	1.2E-5	6.2E-4	8.1E-4	7.3E-2	1.1E-2	3.1E-4
38	8.5E-2	1.2E-5	6.1E-4	7.9E-4	7.3E-2	1.1E-2	3.1E-4
39	8.5E-2	1.2E-5	6.0E-4	7.8E-4	7.2E-2	1.0E-2	3.0E-4
40	8.4E-2	1.2E-5	5.9E-4	7.7E-4	7.2E-2	1.0E-2	3.0E-4
41	8.3E-2	1.2E-5	5.8E-4	7.6E-4	7.1E-2	1.0E-2	3.0E-4
42	8.3E-2	1.2E-5	5.7E-4	7.5E-4	7.1E-2	1.0E-2	3.0E-4
43	8.2E-2	1.2E-5	5.6E-4	7.4E-4	7.0E-2	1.0E-2	3.0E-4
44	8.2E-2	1.1E-5	5.6E-4	7.3E-4	7.0E-2	1.0E-2	3.0E-4
45	8.1E-2	1.1E-5	5.5E-4	7.2E-4	6.9E-2	1.0E-2	3.0E-4
46	8.0E-2	1.1E-5	5.4E-4	7.1E-4	6.9E-2	1.0E-2	2.9E-4
47	8.0E-2	1.1E-5	5.4E-4	7.1E-4	6.8E-2	9.9E-3	2.9E-4
48	7.9E-2	1.1E-5	5.3E-4	7.0E-4	6.8E-2	9.8E-3	2.9E-4
49	7.9E-2	1.1E-5	5.3E-4	6.9E-4	6.7E-2	9.8E-3	2.9E-4
50	7.8E-2	1.1E-5	5.2E-4	6.9E-4	6.7E-2	9.7E-3	2.9E-4
51	7.8E-2	1.1E-5	5.2E-4	6.8E-4	6.6E-2	9.6E-3	2.9E-4
52	7.7E-2	1.1E-5	5.1E-4	6.7E-4	6.6E-2	9.6E-3	2.9E-4
53	7.6E-2	1.1E-5	5.1E-4	6.7E-4	6.5E-2	9.5E-3	2.9E-4
54	7.6E-2	1.1E-5	5.0E-4	6.6E-4	6.5E-2	9.5E-3	2.8E-4
55	7.5E-2	1.0E-5	5.0E-4	6.6E-4	6.4E-2	9.4E-3	2.8E-4
56	7.5E-2	1.0E-5	5.0E-4	6.5E-4	6.4E-2	9.3E-3	2.8E-4
57	7.4E-2	1.0E-5	4.9E-4	6.4E-4	6.3E-2	9.3E-3	2.8E-4
58	7.4E-2	1.0E-5	4.9E-4	6.4E-4	6.3E-2	9.2E-3	2.8E-4
59	7.3E-2	1.0E-5	4.8E-4	6.3E-4	6.3E-2	9.2E-3	2.8E-4
60	7.3E-2	1.0E-5	4.8E-4	6.3E-4	6.2E-2	9.1E-3	2.8E-4
61	7.2E-2	9.9E-6	4.7E-4	6.2E-4	6.2E-2	9.1E-3	2.8E-4
