Radionuclide	Th-228
Route of Intake	Injection
Material	Injection, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.8E-4	-	-	4.0E-5	4.0E-5	1.4E-5
0.083333	8.0E-4	-	-	2.0E-4	2.1E-4	6.1E-5
0.125	1.8E-3	-	-	4.9E-4	5.2E-4	1.4E-4
0.25	7.2E-3	-	-	2.0E-3	2.3E-3	5.8E-4
0.375	1.5E-2	-	-	4.3E-3	5.4E-3	1.3E-3
0.5	2.5E-2	-	-	7.1E-3	9.6E-3	2.2E-3
0.625	3.7E-2	-	-	1.0E-2	1.5E-2	3.2E-3
0.75	4.9E-2	-	-	1.4E-2	2.1E-2	4.4E-3
0.875	6.2E-2	-	-	1.7E-2	2.7E-2	5.6E-3
1	7.6E-2	3.8E-2	6.1E-4	2.0E-2	3.4E-2	6.9E-3
1.125	9.0E-2	-	-	2.3E-2	4.1E-2	8.1E-3
1.25	1.0E-1	-	-	2.6E-2	4.8E-2	9.4E-3
1.375	1.2E-1	-	-	2.9E-2	5.5E-2	1.1E-2
1.5	1.3E-1	-	-	3.2E-2	6.2E-2	1.2E-2
1.625	1.4E-1	-	-	3.4E-2	6.9E-2	1.3E-2
1.75	1.6E-1	-	-	3.7E-2	7.6E-2	1.4E-2
1.875	1.7E-1	-	-	3.9E-2	8.3E-2	1.6E-2
2	1.8E-1	7.5E-3	1.7E-3	4.1E-2	9.0E-2	1.7E-2
2.25	2.0E-1	-	-	4.5E-2	1.0E-1	1.9E-2
2.5	2.2E-1	-	-	4.8E-2	1.2E-1	2.1E-2
2.75	2.4E-1	-	-	5.1E-2	1.3E-1	2.3E-2
3	2.6E-1	4.4E-3	1.2E-3	5.3E-2	1.4E-1	2.4E-2
3.25	2.8E-1	-	-	5.6E-2	1.5E-1	2.6E-2
3.5	2.9E-1	-	-	5.8E-2	1.6E-1	2.7E-2
3.75	3.0E-1	-	-	5.9E-2	1.7E-1	2.8E-2
4	3.2E-1	3.5E-3	5.8E-4	6.1E-2	1.7E-1	2.9E-2
4.25	3.3E-1	-	-	6.2E-2	1.8E-1	3.0E-2
4.5	3.4E-1	-	-	6.3E-2	1.9E-1	3.1E-2
4.75	3.5E-1	-	-	6.4E-2	2.0E-1	3.2E-2
5	3.6E-1	2.9E-3	3.2E-4	6.5E-2	2.0E-1	3.3E-2
5.5	3.8E-1	-	-	6.7E-2	2.1E-1	3.4E-2
6	3.9E-1	2.4E-3	2.1E-4	6.8E-2	2.2E-1	3.5E-2
6.5	4.0E-1	-	-	6.9E-2	2.3E-1	3.5E-2
7	4.1E-1	2.1E-3	1.5E-4	6.9E-2	2.4E-1	3.6E-2
7.5	4.2E-1	-	-	7.0E-2	2.5E-1	3.6E-2
8	4.3E-1	1.8E-3	1.2E-4	7.0E-2	2.6E-1	3.7E-2
8.5	4.4E-1	-	-	7.0E-2	2.6E-1	3.7E-2
9	4.4E-1	1.6E-3	9.3E-5	7.0E-2	2.7E-1	3.7E-2
9.5	4.5E-1	-	-	7.0E-2	2.7E-1	3.7E-2
10	4.5E-1	1.4E-3	7.4E-5	7.0E-2	2.8E-1	3.7E-2
11	4.6E-1	1.3E-3	6.1E-5	7.0E-2	2.8E-1	3.8E-2
12	4.7E-1	1.2E-3	5.1E-5	7.0E-2	2.9E-1	3.8E-2
13	4.7E-1	1.1E-3	4.4E-5	7.0E-2	2.9E-1	3.8E-2
14	4.8E-1	1.0E-3	3.9E-5	7.0E-2	3.0E-1	3.8E-2
15	4.8E-1	9.6E-4	3.5E-5	7.0E-2	3.0E-1	3.8E-2
16	4.8E-1	9.0E-4	3.2E-5	7.0E-2	3.0E-1	3.8E-2
17	4.8E-1	8.5E-4	2.9E-5	6.9E-2	3.1E-1	3.8E-2
18	4.8E-1	8.0E-4	2.8E-5	6.9E-2	3.1E-1	3.8E-2
19	4.9E-1	7.6E-4	2.7E-5	6.9E-2	3.1E-1	3.8E-2
20	4.9E-1	7.2E-4	2.6E-5	6.9E-2	3.1E-1	3.8E-2
21	4.9E-1	6.9E-4	2.5E-5	6.9E-2	3.1E-1	3.8E-2
22	4.9E-1	6.5E-4	2.5E-5	6.9E-2	3.1E-1	3.8E-2
23	4.9E-1	6.2E-4	2.4E-5	6.8E-2	3.1E-1	3.8E-2
24	4.9E-1	5.9E-4	2.4E-5	6.8E-2	3.1E-1	3.8E-2
25	4.9E-1	5.7E-4	2.4E-5	6.8E-2	3.1E-1	3.8E-2
26	4.9E-1	5.4E-4	2.3E-5	6.8E-2	3.1E-1	3.8E-2
27	4.9E-1	5.1E-4	2.3E-5	6.8E-2	3.1E-1	3.8E-2
28	4.9E-1	4.9E-4	2.3E-5	6.8E-2	3.1E-1	3.7E-2
29	4.9E-1	4.7E-4	2.3E-5	6.8E-2	3.1E-1	3.7E-2
30	4.9E-1	4.5E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
31	4.9E-1	4.3E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
32	4.8E-1	4.1E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
33	4.8E-1	3.9E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
34	4.8E-1	3.7E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
35	4.8E-1	3.6E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
36	4.8E-1	3.4E-4	2.3E-5	6.7E-2	3.1E-1	3.7E-2
37	4.8E-1	3.3E-4	2.2E-5	6.7E-2	3.1E-1	3.7E-2
38	4.8E-1	3.1E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
39	4.8E-1	3.0E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
40	4.8E-1	2.9E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
41	4.8E-1	2.7E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
42	4.8E-1	2.6E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
43	4.8E-1	2.5E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
44	4.8E-1	2.4E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
45	4.8E-1	2.3E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
46	4.8E-1	2.2E-4	2.2E-5	6.6E-2	3.1E-1	3.7E-2
47	4.8E-1	2.1E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
48	4.8E-1	2.0E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
