Radionuclide	Ra-228
Route of Intake	Inhalation
Material	Aerosols Type M, All unspecified forms, fA=4E-2
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	8.6E-2	-	-	3.0E-2	7.9E-3	7.1E-5	5.9E-5
0.083333	1.6E-1	-	-	6.3E-2	1.4E-2	2.7E-4	1.9E-4
0.125	2.3E-1	-	-	9.8E-2	1.9E-2	5.6E-4	3.7E-4
0.25	3.7E-1	-	-	2.0E-1	2.9E-2	1.9E-3	1.1E-3
0.375	4.7E-1	-	-	2.9E-1	3.5E-2	3.6E-3	1.8E-3
0.5	5.3E-1	-	-	3.6E-1	4.0E-2	5.3E-3	2.3E-3
0.625	5.7E-1	-	-	4.1E-1	4.3E-2	6.8E-3	2.8E-3
0.75	5.8E-1	-	-	4.4E-1	4.5E-2	8.1E-3	3.1E-3
0.875	5.8E-1	-	-	4.5E-1	4.6E-2	9.2E-3	3.3E-3
1	5.7E-1	5.1E-4	8.5E-2	4.5E-1	4.7E-2	1.0E-2	3.4E-3
1.125	5.5E-1	-	-	4.4E-1	4.8E-2	1.1E-2	3.4E-3
1.25	5.3E-1	-	-	4.3E-1	4.8E-2	1.1E-2	3.4E-3
1.375	5.0E-1	-	-	4.0E-1	4.8E-2	1.1E-2	3.4E-3
1.5	4.6E-1	-	-	3.8E-1	4.8E-2	1.2E-2	3.3E-3
1.625	4.3E-1	-	-	3.5E-1	4.8E-2	1.2E-2	3.2E-3
1.75	4.0E-1	-	-	3.2E-1	4.8E-2	1.2E-2	3.1E-3
1.875	3.6E-1	-	-	2.9E-1	4.8E-2	1.2E-2	3.0E-3
2	3.3E-1	1.9E-4	2.7E-1	2.6E-1	4.8E-2	1.1E-2	2.9E-3
2.25	2.7E-1	-	-	2.1E-1	4.8E-2	1.1E-2	2.7E-3
2.5	2.3E-1	-	-	1.6E-1	4.7E-2	1.1E-2	2.5E-3
2.75	1.9E-1	-	-	1.2E-1	4.7E-2	1.0E-2	2.3E-3
3	1.6E-1	1.0E-4	1.8E-1	9.3E-2	4.7E-2	1.0E-2	2.1E-3
3.25	1.3E-1	-	-	7.0E-2	4.6E-2	9.6E-3	1.9E-3
3.5	1.1E-1	-	-	5.2E-2	4.6E-2	9.2E-3	1.8E-3
3.75	9.7E-2	-	-	3.9E-2	4.6E-2	8.9E-3	1.7E-3
4	8.6E-2	6.9E-5	6.8E-2	2.9E-2	4.6E-2	8.6E-3	1.5E-3
4.25	7.8E-2	-	-	2.2E-2	4.5E-2	8.3E-3	1.4E-3
4.5	7.2E-2	-	-	1.6E-2	4.5E-2	8.0E-3	1.3E-3
4.75	6.8E-2	-	-	1.3E-2	4.5E-2	7.8E-3	1.2E-3
