Radionuclide	Tc-94m
Route of Intake	Inhalation
Material	Aerosols Type F, Pertechnetate, Tc-DTPA, fA=0.9
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	4.4E-1	-	7.6E-2	8.1E-3	3.8E-3	5.1E-3	1.4E-2
0.083333	1.9E-1	-	3.3E-2	3.0E-3	1.6E-3	2.8E-3	8.4E-3
0.125	8.5E-2	-	1.5E-2	1.3E-3	7.3E-4	1.5E-3	4.4E-3
0.25	7.3E-3	-	1.6E-3	1.0E-4	6.2E-5	1.9E-4	4.5E-4
0.375	6.3E-4	-	1.7E-4	8.1E-6	5.3E-6	2.1E-5	3.8E-5
0.5	5.4E-5	-	1.7E-5	6.5E-7	4.5E-7	2.1E-6	3.1E-6
0.625	4.7E-6	-	1.7E-6	5.2E-8	3.8E-8	2.1E-7	2.5E-7
0.75	4.1E-7	-	1.6E-7	4.1E-9	3.2E-9	2.0E-8	1.9E-8
0.875	3.6E-8	-	1.5E-8	3.3E-10	2.7E-10	1.9E-9	1.5E-9
1	3.2E-9	6.8E-10	1.3E-9	-	-	-	1.2E-10
1.125	2.8E-10	-	-	-	-	-	-
