Radionuclide	Tc-94m
Route of Intake	Inhalation
Material	Aerosols Type S, fA=9E-3
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	1.3E-1	1.9E-2	8.3E-2	2.6E-6	3.9E-6	8.9E-6
0.083333	5.9E-2	9.9E-3	3.7E-2	2.1E-6	3.2E-6	8.6E-6
0.125	2.6E-2	4.9E-3	1.6E-2	1.3E-6	2.2E-6	6.1E-6
0.25	2.4E-3	5.4E-4	1.5E-3	1.7E-7	3.9E-7	1.0E-6
0.375	2.1E-4	5.5E-5	1.3E-4	1.7E-8	5.2E-8	1.2E-7
0.5	1.9E-5	5.4E-6	1.2E-5	1.6E-9	5.9E-9	1.1E-8
0.625	1.7E-6	5.1E-7	1.1E-6	1.4E-10	6.3E-10	9.7E-10
0.75	1.5E-7	4.7E-8	9.7E-8	-	-	-
0.875	1.4E-8	4.1E-9	8.8E-9	-	-	-
1	1.2E-9	2.6E-10	7.9E-10	-	-	-
1.125	1.1E-10	-	-	-	-	-
