Radionuclide	Tc-94m
Route of Intake	Inhalation
Material	Aerosols Type S, fA=9E-3
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	2.8E-1	1.6E-2	2.4E-1	6.8E-6	1.0E-5	2.3E-5
0.083333	1.2E-1	8.8E-3	1.0E-1	5.1E-6	8.0E-6	2.2E-5
0.125	5.5E-2	4.5E-3	4.7E-2	3.0E-6	5.3E-6	1.5E-5
0.25	5.0E-3	5.1E-4	4.2E-3	3.9E-7	9.2E-7	2.4E-6
0.375	4.5E-4	5.3E-5	3.8E-4	3.9E-8	1.2E-7	2.7E-7
0.5	4.1E-5	5.2E-6	3.4E-5	3.6E-9	1.4E-8	2.5E-8
0.625	3.7E-6	5.0E-7	3.1E-6	3.2E-10	1.4E-9	2.2E-9
0.75	3.3E-7	4.7E-8	2.8E-7	-	-	1.8E-10
0.875	3.0E-8	4.2E-9	2.5E-8	-	-	-
1	2.7E-9	2.7E-10	2.3E-9	-	-	-
1.125	2.4E-10	-	1.7E-10	-	-	-
