Radionuclide	Re-178
Route of Intake	Ingestion
Material	All forms, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	4.3E-2	2.9E-2	3.7E-4	5.5E-4	1.2E-3
0.083333	1.8E-3	8.3E-4	2.5E-5	3.8E-5	1.0E-4
0.125	7.7E-5	2.9E-5	1.1E-6	2.0E-6	5.9E-6
0.25	5.8E-9	2.2E-9	-	2.1E-10	5.4E-10
