Radionuclide	Ba-124
Route of Intake	Injection
Material	Injection, fA=0.2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*
0.041667	2.3E-2	6.9E-3	5.8E-3
0.083333	5.0E-4	1.7E-4	1.4E-4
0.125	1.2E-5	4.2E-6	3.4E-6
0.25	1.3E-10	-	-
