Radionuclide	Ag-103
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-4
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.3E-1	-	1.9E-2	2.8E-1	6.1E-6	4.2E-5
0.083333	1.7E-1	-	1.2E-2	1.5E-1	5.9E-6	5.2E-5
0.125	9.1E-2	-	7.4E-3	7.7E-2	4.5E-6	4.3E-5
0.25	1.4E-2	-	1.4E-3	1.1E-2	1.3E-6	1.3E-5
0.375	2.0E-3	-	2.4E-4	1.7E-3	2.8E-7	2.9E-6
0.5	3.0E-4	-	3.8E-5	2.5E-4	5.3E-8	5.7E-7
0.625	4.5E-5	-	6.1E-6	3.8E-5	9.6E-9	1.0E-7
0.75	6.7E-6	-	9.3E-7	5.6E-6	1.7E-9	1.8E-8
0.875	1.0E-6	-	1.4E-7	8.4E-7	2.8E-10	2.9E-9
1	1.5E-7	3.2E-9	2.1E-8	1.2E-7	-	4.8E-10
1.125	2.2E-8	-	3.1E-9	1.9E-8	-	-
1.25	3.3E-9	-	4.5E-10	2.8E-9	-	-
1.375	4.8E-10	-	-	4.1E-10	-	-
